id,name,nick_name,rate,stamp_duty,transfer_fee,date_added,Introduction
1,恒泰证券,子账号,0.001,0.00025,0.00002,2020-03-21,CANSLIM
2,国联证券,主账户,0.001,0.00025,0.00002,2020-03-21,海龟交易
