,股票代码,综合排名,最新季报增长率,EPS,股价强度,SMR,收益额增长稳定性,ROE,年度新高,量比变化,,行业板块,行业板块强度,季报日期,公告日,港股持股比例,当日涨幅,最新业绩预告,预告下限,预告上线
,code,cumulative_rank,new_quarter_eps,eps,rps,smr,eps_stability,roe,decline_range,volume_ratio,index_code,industry_name,industry_rps,period_date,ann_date,hk_hold,pct_chg,forecast,p_change_min,p_change_max
52,000070.SZ,24.6,-239.79,63.6,19.9,9.2,44.9,12.3569,-34.7,0.44,851013.SI,通信传输设备,54.6,2020-03-31,2020-04-30,0.44,-1.25,,,
53,000078.SZ,51.1,-41.67,28.1,73.2,40.1,26.6,3.9498,-46.1,0.44,851541.SI,医药商业,89.4,2020-03-31,2020-04-28,0.32,-2.79,,,
54,000088.SZ,52.5,-66.67,45.2,63.5,34.1,10.8,5.2045,-17.0,0.73,851711.SI,港口,56.4,2020-03-31,2020-04-25,0.04,1.76,,,
55,000089.SZ,24.1,-170.11,44.6,41.1,15.9,33.9,5.0102,-35.6,0.63,851751.SI,机场,42.3,2020-03-31,2020-04-30,6.86,-0.52,,,
56,000090.SZ,80.3,1442.23,78.5,55.2,99.2,81.9,13.5199,-2.9,0.65,851811.SI,房地产开发,29.1,2020-03-31,2020-04-28,1.09,-0.45,,,
57,000096.SZ,48.8,-82.14,26.2,69.8,17.9,47.0,4.8119,-12.7,0.41,850313.SI,石油贸易,82.4,2020-03-31,2020-04-30,2.43,-0.36,,,
58,000099.SZ,70.5,5.32,79.4,52.7,74.0,29.9,6.6625,-18.3,0.73,851741.SI,航空运输,31.7,2020-03-31,2020-04-28,0.71,-0.88,,,
59,000100.SZ,86.1,-45.33,66.6,93.5,21.5,27.1,8.6386,-14.6,0.86,850831.SI,显示器件,95.6,2020-03-31,2020-04-29,3.25,-0.16,,,
60,000150.SZ,7.3,-174.35,8.4,8.2,16.1,82.8,-97.9645,-42.9,1.24,851561.SI,医疗服务,96.9,2020-03-31,2020-04-30,0.11,1.35,,,
61,000151.SZ,15.0,1173.68,21.0,16.2,86.2,78.3,0.8983,-29.8,0.58,852021.SI,贸易,21.6,2020-03-31,2020-04-25,,-0.58,,,
62,000153.SZ,89.0,29.25,69.2,75.0,74.5,13.6,6.1937,-15.2,0.48,851512.SI,化学制剂,92.1,2020-03-31,2020-04-24,,-1.66,,,
63,000155.SZ,45.7,-16.67,19.9,73.9,61.2,87.1,6.3361,-9.1,7.18,851615.SI,新能源发电,28.6,2020-03-31,2020-04-24,0.0,0.0,,,
64,000156.SZ,68.9,-37.16,44.5,60.6,62.6,8.0,5.955,-18.0,0.79,852224.SI,有线电视网络,90.7,2020-03-31,2020-04-30,0.64,1.07,,,
65,000157.SZ,83.0,7.69,94.5,65.6,70.7,82.1,11.3449,-12.2,1.43,850722.SI,工程机械,27.8,2020-03-31,2020-04-30,9.12,-0.79,,,
66,000158.SZ,52.2,-595.51,21.9,90.8,28.8,68.2,1.6854,-34.2,1.1,852226.SI,IT服务,70.5,2020-03-31,2020-04-25,0.52,-3.32,,,
67,000159.SZ,5.9,-216.6,18.5,5.9,6.6,69.8,1.3993,-45.6,1.53,850313.SI,石油贸易,82.4,2020-03-31,2020-04-30,,-1.03,,,
68,000166.SZ,65.9,0.0,39.5,53.9,73.2,21.0,7.5167,-7.6,1.55,851931.SI,证券,83.3,2020-03-31,2020-04-30,1.36,-0.81,不确定,,
69,000301.SZ,62.7,-44.44,81.3,48.6,33.0,69.5,11.9679,-4.8,1.0,850341.SI,涤纶,37.0,2020-03-31,2020-04-30,0.38,-2.46,,,
70,000333.SZ,66.0,-25.53,62.1,69.8,51.8,2.8,26.2109,-1.6,0.75,851112.SI,空调,22.0,2020-03-31,2020-04-30,17.3,-0.15,,,
71,000338.SZ,80.7,-21.21,88.0,63.5,52.3,44.0,21.5406,-20.7,1.12,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-30,10.04,-1.27,,,
72,000400.SZ,78.5,52.8,48.8,82.9,79.7,35.2,5.367,-19.5,0.87,857321.SI,电网自动化,60.8,2020-03-31,2020-04-28,1.5,-0.98,,,
73,000401.SZ,46.9,-845.45,92.5,50.2,3.3,75.5,18.0456,-23.1,0.77,850612.SI,水泥制造,6.2,2020-03-31,2020-04-24,2.09,-1.25,,,
74,000402.SZ,32.6,-70.0,50.9,41.1,34.3,25.4,10.3247,-20.3,0.76,851811.SI,房地产开发,29.1,2020-03-31,2020-04-30,1.53,-0.6,,,
75,000403.SZ,99.9,2.69,92.1,98.6,88.2,45.9,22.3162,-1.0,0.9,851531.SI,生物制品,96.0,2020-03-31,2020-04-30,,1.97,,,
76,000404.SZ,45.6,-37.23,18.1,31.7,95.6,20.7,0.9552,-20.4,0.93,851115.SI,家电零部件,93.0,2020-03-31,2020-04-24,,-0.56,,,
77,000407.SZ,45.2,-50.0,88.4,30.0,35.0,75.5,5.6856,-19.5,0.83,851631.SI,燃气,14.1,2020-03-31,2020-04-28,0.0,-1.23,,,
78,000408.SZ,20.0,-80.23,24.9,36.3,39.9,43.0,4.7091,-45.4,0.7,850336.SI,钾肥,58.1,2020-03-31,2020-04-30,,-1.02,,,
79,000409.SZ,12.0,61.09,4.8,11.0,74.2,97.2,-59.9688,-33.9,1.53,852311.SI,综合,64.3,2020-03-31,2020-04-29,0.0,-0.97,,,
80,000411.SZ,68.1,-9.32,64.3,44.1,61.1,18.0,12.3472,-23.7,0.53,851541.SI,医药商业,89.4,2020-03-31,2020-04-30,,-0.62,,,
81,000413.SZ,5.9,-175.0,15.0,3.5,14.6,43.1,-3.5935,-54.7,0.88,850831.SI,显示器件,95.6,2020-03-31,2020-04-30,1.02,-1.82,,,
82,000413.SZ,5.9,-175.0,15.0,3.5,14.6,43.1,-4.8251,-54.7,0.88,850831.SI,显示器件,95.6,2020-03-31,2020-04-30,1.02,-1.82,,,
83,000415.SZ,33.4,-69.95,36.0,22.4,75.6,33.8,5.0304,-26.4,1.09,851921.SI,多元金融,63.4,2020-03-31,2020-04-30,1.02,-1.63,,,
84,000416.SZ,79.9,-5.0,71.9,56.4,94.3,62.4,3.2353,-23.7,1.37,851921.SI,多元金融,63.4,2020-03-31,2020-04-30,,0.8,,,
85,000417.SZ,56.9,-50.26,28.3,63.5,36.0,8.9,4.1264,-12.3,1.45,852031.SI,百货,96.5,2020-03-31,2020-04-25,0.0,-7.73,,,
86,000419.SZ,65.1,-56.54,65.8,47.0,31.6,11.8,6.1436,-12.1,0.69,852033.SI,多业态零售,87.7,2020-03-31,2020-04-30,,-0.46,,,
87,000420.SZ,25.2,-17.71,71.9,15.1,52.4,55.7,3.0665,-45.5,0.49,850343.SI,粘胶,17.6,2020-03-31,2020-04-30,,-0.97,,,
88,000421.SZ,16.3,-45.32,26.6,37.8,36.2,22.4,3.926,-17.8,0.68,851631.SI,燃气,14.1,2020-03-31,2020-04-30,,-0.24,,,
89,000422.SZ,7.0,-10650.0,15.9,28.3,9.9,98.8,26.2466,-24.9,1.04,850322.SI,氯碱,26.9,2020-03-31,2020-04-29,,-1.54,,,
90,000423.SZ,34.9,-121.47,20.7,51.5,22.0,34.6,-4.1727,-9.2,0.93,851521.SI,中药,78.0,2020-03-31,2020-04-30,6.68,5.71,,,
91,000425.SZ,83.6,-45.31,95.9,77.5,48.7,79.5,11.4355,-13.6,1.02,850722.SI,工程机械,27.8,2020-03-31,2020-04-30,5.79,-1.19,,,
92,000426.SZ,81.8,-180.52,95.2,76.9,13.8,84.3,1.9488,-7.4,0.73,850553.SI,铅锌,50.2,2020-03-31,2020-04-30,0.19,-3.23,,,
93,000428.SZ,28.1,-78.15,15.3,68.3,24.2,82.8,1.964,-17.8,0.78,852121.SI,酒店,36.1,2020-03-31,2020-04-29,,-1.46,,,
94,000429.SZ,22.0,-117.65,52.6,33.5,18.6,29.2,12.9688,-23.2,0.56,851731.SI,高速公路,15.9,2020-03-31,2020-04-29,0.43,0.73,,,
95,000430.SZ,7.8,-342.44,20.1,28.3,6.9,64.3,0.6949,-25.0,0.76,852112.SI,自然景点,29.5,2020-03-31,2020-04-29,,0.64,,,
96,000488.SZ,55.7,151.35,35.5,45.5,97.7,46.0,6.5974,-14.9,1.08,851411.SI,造纸,55.5,2020-03-31,2020-04-21,1.39,-1.4,,,
97,000498.SZ,32.8,-17.68,59.3,37.8,50.5,80.3,11.7915,-24.6,0.86,857232.SI,路桥施工,7.5,2020-03-31,2020-04-28,0.0,-1.23,,,
98,000501.SZ,75.9,-174.36,50.9,82.0,16.3,33.3,13.7959,-5.5,0.5,852031.SI,百货,96.5,2020-03-31,2020-04-30,1.09,-0.34,,,
99,000502.SZ,10.7,-575.0,15.5,30.0,49.5,69.4,-4.4718,-42.0,1.24,851811.SI,房地产开发,29.1,2020-03-31,2020-04-30,,-0.77,,,
100,000503.SZ,8.2,-42.96,6.1,11.0,24.1,78.1,1.4306,-43.9,0.85,851561.SI,医疗服务,96.9,2020-03-31,2020-04-25,0.41,-2.34,,,
101,000505.SZ,34.9,0.0,30.5,62.5,73.5,38.3,5.7002,-25.2,0.62,850152.SI,粮油加工,0.9,2020-03-31,2020-04-25,,-1.4,,,
102,000506.SZ,3.7,-149.43,0.7,5.9,77.6,96.9,-1.7335,-48.8,1.92,851811.SI,房地产开发,29.1,2020-03-31,2020-04-30,,-1.69,,,
103,000507.SZ,60.4,20.39,70.0,36.3,69.4,19.4,5.5076,-20.4,0.84,851711.SI,港口,56.4,2020-03-31,2020-04-28,0.0,1.32,,,
104,000510.SZ,48.3,16.71,53.5,50.2,64.4,84.9,6.4504,-20.8,4.61,850322.SI,氯碱,26.9,2020-03-31,2020-04-30,0.0,4.58,,,
105,000513.SZ,99.3,2.38,93.4,87.2,82.0,65.0,11.9427,0.0,0.77,851512.SI,化学制剂,92.1,2020-03-31,2020-04-21,6.09,2.53,,,
106,000514.SZ,47.2,-277.55,98.1,30.0,18.2,86.8,8.436,-30.7,0.87,851811.SI,房地产开发,29.1,2020-03-31,2020-04-28,0.0,-1.03,,,
107,000516.SZ,58.2,-1100.0,98.4,21.1,1.2,90.5,-7.5624,-27.2,0.83,851561.SI,医疗服务,96.9,2020-03-31,2020-04-29,0.24,-1.23,,,
108,000517.SZ,46.6,-96.63,95.4,25.1,26.3,98.9,32.9827,-25.3,0.68,851811.SI,房地产开发,29.1,2020-03-31,2020-04-29,0.36,-0.81,,,
109,000518.SZ,56.6,180.65,15.4,66.6,95.7,86.7,2.3634,-52.7,0.3,851531.SI,生物制品,96.0,2020-03-31,2020-04-28,0.0,-1.65,,,
110,000519.SZ,74.7,-72.29,80.3,74.5,33.9,98.0,3.18,-15.0,0.64,857431.SI,地面兵装,39.6,2020-03-31,2020-04-29,0.05,-2.98,,,
111,000520.SZ,64.4,-87.2,94.0,53.9,38.0,78.2,8.1703,-23.9,0.59,851761.SI,航运,20.3,2020-03-31,2020-04-29,,-0.55,,,
112,000521.SZ,20.9,-546.46,34.2,33.5,4.0,71.2,1.1265,-25.8,0.44,851111.SI,冰箱,65.6,2020-03-31,2020-04-18,,0.0,,,
113,000523.SZ,32.7,-250.0,26.9,57.6,9.1,45.5,3.2236,-33.5,0.83,850334.SI,日用化学产品,82.8,2020-03-31,2020-04-28,0.0,-0.72,,,
114,000524.SZ,38.6,-155.09,64.0,18.6,12.5,44.0,9.9159,-28.6,1.11,852131.SI,旅游综合,98.2,2020-03-31,2020-04-30,,0.49,,,
115,000525.SZ,37.7,-93.62,92.9,6.5,21.0,81.1,0.5827,-40.8,2.74,850333.SI,农药,65.2,2020-03-31,2020-04-30,0.03,-4.64,,,
116,000526.SZ,88.5,-736.26,73.4,98.3,1.0,88.6,15.1445,-5.5,0.73,852222.SI,移动互联网服务,97.4,2020-03-31,2020-04-22,,-3.98,,,
117,000528.SZ,70.2,-47.62,97.5,48.6,41.6,94.8,10.1785,-11.3,1.11,850722.SI,工程机械,27.8,2020-03-31,2020-04-30,3.41,-1.25,,,
118,000529.SZ,93.5,40.0,77.2,76.4,82.4,6.1,15.3921,-8.0,1.05,852241.SI,平面媒体,85.5,2020-03-31,2020-04-18,,1.38,,,
119,000530.SZ,12.8,-156.0,26.3,19.9,13.0,52.0,2.6375,-31.8,1.4,850715.SI,制冷空调设备,67.0,2020-03-31,2020-04-18,,-1.48,,,
120,000531.SZ,86.9,420.14,91.9,66.6,97.3,77.6,10.2683,-4.8,1.31,851611.SI,火电,16.7,2020-03-31,2020-04-29,,-0.53,,,
121,000532.SZ,80.3,-18.75,66.5,66.6,59.1,12.5,8.6534,-24.5,0.89,850823.SI,被动元件,92.5,2020-03-31,2020-04-24,0.0,-1.74,,,
122,000533.SZ,29.8,115.38,2.7,56.4,83.2,89.9,0.48,-27.5,0.84,857342.SI,中压设备,42.7,2020-03-31,2020-04-30,0.0,0.0,,,
123,000534.SZ,51.4,135.38,25.2,68.3,96.3,47.0,5.6935,-25.3,0.51,851811.SI,房地产开发,29.1,2020-03-31,2020-04-10,,-0.82,,,
124,000536.SZ,6.2,-9.01,2.6,6.5,41.6,89.8,-41.9174,-60.9,0.46,850831.SI,显示器件,95.6,2020-03-31,2020-04-29,0.03,0.0,,,
125,000537.SZ,82.4,-6.45,91.5,62.5,78.1,67.2,25.867,-12.3,0.87,851811.SI,房地产开发,29.1,2020-03-31,2020-04-30,0.63,-0.95,,,
126,000538.SZ,85.0,-34.64,56.3,72.6,81.1,4.2,14.4966,0.0,0.85,851521.SI,中药,78.0,2020-03-31,2020-04-29,7.93,2.15,,,
127,000539.SZ,34.3,-93.3,73.7,30.0,28.5,85.8,4.5502,-19.6,0.88,851611.SI,火电,16.7,2020-03-31,2020-04-29,0.01,-0.84,,,
128,000540.SZ,13.3,-78.6,22.8,31.7,34.7,42.4,6.3823,-29.0,1.46,851811.SI,房地产开发,29.1,2020-03-31,2020-04-30,0.63,1.59,,,
129,000541.SZ,27.4,-62.68,21.5,53.9,35.6,86.7,6.5475,-27.9,1.58,850832.SI,LED,48.5,2020-03-31,2020-04-25,0.03,1.36,,,
130,000543.SZ,55.2,-25.0,91.2,33.5,51.5,63.9,6.6479,-18.5,0.79,851611.SI,火电,16.7,2020-03-31,2020-04-29,1.14,-0.74,,,
131,000544.SZ,65.1,116.67,59.5,63.5,91.6,66.7,7.8877,-25.9,0.55,851621.SI,水务,21.1,2020-03-31,2020-04-30,1.03,-1.06,,,
132,000545.SZ,7.2,-89.72,17.4,4.6,28.0,52.8,1.3104,-43.4,1.38,850324.SI,其他化学原料,72.7,2020-03-31,2020-04-29,,-1.59,,,
133,000545.SZ,7.2,-89.72,17.4,4.6,28.0,52.8,1.2113,-43.4,1.38,850324.SI,其他化学原料,72.7,2020-03-31,2020-04-29,,-1.59,,,
134,000546.SZ,36.7,-378.45,57.9,65.6,2.8,54.2,12.8284,-14.1,0.66,850612.SI,水泥制造,6.2,2020-03-31,2020-04-21,1.3,-1.16,,,
135,000547.SZ,88.5,33.33,78.9,85.5,84.1,11.8,9.1936,-16.1,1.3,857431.SI,地面兵装,39.6,2020-03-31,2020-04-30,0.84,-0.91,,,
136,000548.SZ,32.8,-300.0,73.4,36.3,10.5,57.2,3.2864,-18.2,4.87,851731.SI,高速公路,15.9,2020-03-31,2020-04-30,,-0.51,,,
137,000550.SZ,9.7,166.67,23.2,6.5,44.5,41.6,1.4158,-55.5,1.0,850912.SI,商用载货车,74.4,2020-03-31,2020-04-28,1.68,-1.89,,,
138,000551.SZ,70.1,-20.0,76.7,86.8,49.3,17.5,6.6191,-28.3,0.55,850729.SI,环保设备,1.8,2020-03-31,2020-04-28,,-0.99,,,
139,000552.SZ,49.2,-1.06,83.1,30.0,61.3,49.3,7.0406,-17.3,0.38,850221.SI,煤炭开采,10.1,2020-03-31,2020-04-30,0.07,-0.44,,,
140,000553.SZ,55.9,-104.67,84.6,26.6,36.4,76.0,1.2409,-22.6,0.94,850333.SI,农药,65.2,2020-03-31,2020-04-28,0.2,-0.88,,,
141,000554.SZ,50.0,-1800.0,83.7,25.1,7.0,85.9,0.6559,-24.4,0.88,850313.SI,石油贸易,82.4,2020-03-31,2020-04-30,,-1.26,,,
142,000555.SZ,89.8,-14.12,97.5,75.9,52.2,69.2,7.3899,-24.7,0.6,852226.SI,IT服务,70.5,2020-03-31,2020-04-15,0.65,-0.46,,,
143,000557.SZ,72.6,62.94,95.7,39.5,86.4,59.8,0.9046,-30.7,0.67,851771.SI,铁路运输,33.5,2020-03-31,2020-04-29,,-1.14,,,
144,000558.SZ,10.2,50.0,17.1,12.9,72.8,66.3,2.035,-36.8,0.8,851811.SI,房地产开发,29.1,2020-03-31,2020-04-29,0.0,-0.75,续亏,13.36,36.16
145,000559.SZ,23.2,-59.26,30.1,30.0,34.4,8.8,10.2941,-25.8,0.96,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-23,0.54,-1.42,,,
146,000560.SZ,28.3,-179.55,95.6,8.8,15.2,75.6,8.4501,-42.5,0.79,851811.SI,房地产开发,29.1,2020-03-31,2020-04-30,0.68,-0.93,,,
147,000561.SZ,35.4,-200.0,43.6,55.2,16.8,44.5,6.3512,-20.6,0.95,857421.SI,航空装备,43.2,2020-03-31,2020-04-30,0.0,-2.76,,,
148,000563.SZ,39.2,-12.95,46.4,36.3,44.8,25.5,5.4368,-25.0,0.93,851921.SI,多元金融,63.4,2020-03-31,2020-04-28,0.43,0.83,,,
149,000564.SZ,54.1,-85.11,15.3,89.1,20.3,60.0,-3.9969,-29.4,0.81,852031.SI,百货,96.5,2020-03-31,2020-04-30,0.53,-4.66,,,
150,000565.SZ,20.2,-87.33,25.8,31.7,29.1,32.0,5.8672,-21.9,0.8,850335.SI,涂料油漆油墨制造,54.2,2020-03-31,2020-04-24,,-0.63,,,
