000001.SZ,17.6
000002.SZ,33.6
000004.SZ,49.0
000005.SZ,4.12
000006.SZ,5.94
000007.SZ,11.69
000008.SZ,4.25
000009.SZ,9.2
000010.SZ,4.43
000011.SZ,11.22
000012.SZ,6.67
000014.SZ,11.48
000016.SZ,13.61
000017.SZ,6.49
000018.SZ,2.18
000019.SZ,11.73
000020.SZ,13.27
000021.SZ,26.19
000023.SZ,20.97
000025.SZ,32.8
000026.SZ,13.93
000027.SZ,6.37
000028.SZ,56.0
000030.SZ,7.38
000031.SZ,8.05
000032.SZ,21.32
000034.SZ,33.15
000035.SZ,6.94
000036.SZ,7.78
000037.SZ,15.11
000038.SZ,17.3
000039.SZ,13.57
000040.SZ,7.73
000042.SZ,11.27
000043.SZ,22.88
000045.SZ,9.05
000046.SZ,6.85
000048.SZ,28.99
000049.SZ,52.13
000050.SZ,18.95
000055.SZ,5.78
000056.SZ,6.85
000058.SZ,12.08
000059.SZ,7.05
000060.SZ,5.08
000061.SZ,10.09
000062.SZ,21.45
000063.SZ,56.7
000065.SZ,10.5
000066.SZ,17.6
000068.SZ,5.8
000069.SZ,7.93
000070.SZ,16.69
000078.SZ,7.76
000088.SZ,6.98
000089.SZ,11.89
000090.SZ,7.15
000096.SZ,12.07
000099.SZ,8.36
000100.SZ,7.37
000150.SZ,10.7
000151.SZ,12.85
000153.SZ,9.09
000155.SZ,5.35
000156.SZ,13.76
000157.SZ,7.14
000158.SZ,14.59
000159.SZ,10.64
000166.SZ,5.27
000301.SZ,5.95
000333.SZ,61.0
000338.SZ,16.69
000400.SZ,16.35
000401.SZ,22.1
000402.SZ,8.27
000403.SZ,61.8
000404.SZ,4.57
000407.SZ,4.31
000408.SZ,10.65
000409.SZ,6.53
000410.SZ,7.86
000411.SZ,14.69
000413.SZ,6.13
000415.SZ,4.27
000416.SZ,6.64
000417.SZ,5.64
000418.SZ,57.39
000419.SZ,4.96
000420.SZ,3.76
000421.SZ,5.07
000422.SZ,3.83
000423.SZ,43.3
000425.SZ,6.75
000426.SZ,6.62
000428.SZ,4.1
000429.SZ,8.97
000430.SZ,6.27
000488.SZ,5.84
000498.SZ,6.51
000501.SZ,13.95
000502.SZ,11.13
000503.SZ,21.56
000504.SZ,14.05
000505.SZ,10.32
000506.SZ,4.55
000507.SZ,6.86
000509.SZ,3.34
000510.SZ,5.48
000513.SZ,44.91
000514.SZ,5.57
000516.SZ,5.88
000517.SZ,3.44
000518.SZ,8.83
000519.SZ,10.78
000520.SZ,4.72
000521.SZ,4.1
000523.SZ,8.29
000524.SZ,8.74
000525.SZ,14.85
000526.SZ,50.7
000528.SZ,7.32
000529.SZ,7.98
000530.SZ,4.88
000531.SZ,8.5
000532.SZ,14.99
000533.SZ,3.78
000534.SZ,12.9
000536.SZ,4.04
000537.SZ,8.3
000538.SZ,95.75
000539.SZ,4.48
000540.SZ,4.49
000541.SZ,7.19
000543.SZ,5.11
000544.SZ,9.16
000545.SZ,4.38
000546.SZ,11.92
000547.SZ,16.79
000548.SZ,4.83
000550.SZ,28.5
000551.SZ,13.89
000552.SZ,2.98
000553.SZ,12.38
000554.SZ,6.32
000555.SZ,19.99
000557.SZ,4.81
000558.SZ,4.18
000559.SZ,6.75
000560.SZ,6.1
000561.SZ,8.87
000563.SZ,4.88
000564.SZ,4.55
000565.SZ,6.59
000566.SZ,10.29
000567.SZ,13.25
000568.SZ,98.48
000570.SZ,5.89
000571.SZ,2.96
000572.SZ,2.59
000573.SZ,3.62
000576.SZ,10.37
000581.SZ,21.47
000582.SZ,10.11
000584.SZ,8.18
000585.SZ,2.63
000586.SZ,17.66
000587.SZ,3.0
000589.SZ,6.34
000590.SZ,14.34
000591.SZ,4.05
000592.SZ,4.14
000593.SZ,7.69
000595.SZ,5.29
000596.SZ,158.54
000597.SZ,14.09
000598.SZ,5.03
000599.SZ,6.06
000600.SZ,7.8
000601.SZ,8.38
000603.SZ,18.3
000605.SZ,8.95
000606.SZ,7.51
000607.SZ,6.46
000608.SZ,6.58
000609.SZ,8.38
000610.SZ,12.2
000611.SZ,4.27
000612.SZ,6.7
000613.SZ,7.9
000615.SZ,5.99
000616.SZ,3.65
000617.SZ,13.94
000619.SZ,6.05
000620.SZ,5.6
000622.SZ,6.56
000623.SZ,17.86
000625.SZ,12.04
000626.SZ,10.25
000627.SZ,7.95
000628.SZ,11.18
000629.SZ,3.84
000630.SZ,2.56
000631.SZ,3.4
000632.SZ,6.86
000633.SZ,5.98
000635.SZ,9.53
000636.SZ,27.89
000637.SZ,6.06
000638.SZ,6.42
000639.SZ,9.65
000650.SZ,10.35
000651.SZ,70.56
000652.SZ,14.68
000655.SZ,7.49
000656.SZ,8.47
000657.SZ,8.58
000659.SZ,3.85
000661.SZ,680.7
000662.SZ,6.65
000663.SZ,8.34
000665.SZ,9.0
000666.SZ,14.21
000667.SZ,2.94
000668.SZ,17.96
000669.SZ,5.4
000670.SZ,3.36
000671.SZ,8.86
000672.SZ,28.4
000673.SZ,6.67
000676.SZ,12.41
000677.SZ,4.83
000678.SZ,9.27
000679.SZ,4.74
000680.SZ,4.65
000681.SZ,24.65
000682.SZ,6.45
000683.SZ,3.12
000685.SZ,9.2
000686.SZ,10.68
000687.SZ,9.33
000688.SZ,19.8
000690.SZ,7.23
000691.SZ,5.07
000692.SZ,3.43
000693.SZ,2.98
000695.SZ,11.1
000697.SZ,14.35
000698.SZ,5.45
000700.SZ,16.5
000701.SZ,7.0
000702.SZ,8.54
000703.SZ,14.99
000705.SZ,8.36
000707.SZ,3.53
000708.SZ,30.0
000709.SZ,3.15
000710.SZ,59.3
000711.SZ,6.88
000712.SZ,15.9
000713.SZ,17.4
000715.SZ,11.52
000716.SZ,6.45
000717.SZ,5.17
000718.SZ,4.05
000719.SZ,8.22
000720.SZ,6.17
000721.SZ,6.02
000722.SZ,8.0
000723.SZ,17.07
000725.SZ,5.85
000726.SZ,10.66
000727.SZ,2.51
000728.SZ,10.59
000729.SZ,7.98
000731.SZ,6.45
000732.SZ,17.75
000733.SZ,27.42
000735.SZ,11.39
000736.SZ,11.23
000737.SZ,3.5
000738.SZ,15.9
000739.SZ,20.28
000750.SZ,5.63
000751.SZ,3.99
000752.SZ,6.29
000753.SZ,3.76
000755.SZ,5.25
000756.SZ,13.3
000757.SZ,5.59
000758.SZ,6.67
000759.SZ,8.39
000760.SZ,2.84
000761.SZ,4.56
000762.SZ,8.88
000766.SZ,9.1
000767.SZ,3.01
000768.SZ,20.34
000776.SZ,16.16
000777.SZ,14.53
000778.SZ,4.71
000779.SZ,14.38
000780.SZ,3.98
000782.SZ,4.8
000783.SZ,8.29
000785.SZ,12.49
000786.SZ,31.47
000788.SZ,8.53
000789.SZ,15.86
000790.SZ,6.15
000791.SZ,4.9
000792.SZ,10.74
000793.SZ,4.08
000795.SZ,10.3
000796.SZ,10.78
000797.SZ,5.15
000798.SZ,7.23
000799.SZ,45.2
000800.SZ,11.88
000801.SZ,6.56
000802.SZ,12.3
000803.SZ,19.59
000806.SZ,3.44
000807.SZ,5.59
000809.SZ,2.9
000810.SZ,16.65
000811.SZ,9.6
000812.SZ,5.33
000813.SZ,10.14
000815.SZ,16.18
000816.SZ,2.19
000818.SZ,36.9
000819.SZ,11.38
000820.SZ,4.23
000821.SZ,9.27
000822.SZ,5.69
000823.SZ,17.3
000825.SZ,4.46
000826.SZ,13.5
000828.SZ,9.6
000829.SZ,7.12
000830.SZ,13.62
000831.SZ,19.47
000833.SZ,6.41
000835.SZ,6.16
000836.SZ,4.8
000837.SZ,5.34
000838.SZ,4.11
000839.SZ,4.66
000848.SZ,9.5
000850.SZ,6.21
000851.SZ,8.48
000852.SZ,9.75
000856.SZ,13.7
000858.SZ,153.53
000859.SZ,6.96
000860.SZ,65.92
000861.SZ,3.57
000862.SZ,9.2
000863.SZ,6.18
000868.SZ,6.59
000869.SZ,33.68
000875.SZ,4.6
000876.SZ,35.55
000877.SZ,13.85
000878.SZ,14.1
