,ts_code,close_x,close_y,RPS
151,000570.SZ,5.36,4.22,42.5
152,000571.SZ,3.39,2.64,40.5
153,000572.SZ,2.6,2.02,40.5
154,000573.SZ,3.58,2.74,38.5
155,000576.SZ,9.49,6.88,28.5
156,000581.SZ,22.9,18.93,50.0
157,000582.SZ,9.43,9.15,69.9
158,000584.SZ,8.95,5.29,11.5
159,000585.SZ,2.96,1.57,6.9
160,000586.SZ,10.46,10.91,76.5
161,000587.SZ,3.04,1.53,5.2
162,000589.SZ,4.02,3.99,71.9
163,000590.SZ,15.65,10.07,16.7
164,000591.SZ,4.07,3.24,44.4
165,000592.SZ,3.78,2.41,16.7
166,000593.SZ,7.07,4.95,25.4
167,000595.SZ,3.49,2.53,28.5
168,000596.SZ,104.05,112.69,79.6
169,000597.SZ,12.75,7.38,10.7
170,000598.SZ,4.52,4.8,78.3
171,000599.SZ,4.43,3.91,58.2
172,000600.SZ,7.78,4.33,8.9
173,000601.SZ,4.55,5.59,86.9
174,000603.SZ,10.77,11.22,76.5
175,000605.SZ,10.97,5.75,6.2
176,000606.SZ,7.6,4.12,7.5
177,000607.SZ,5.26,4.09,40.5
178,000609.SZ,6.21,4.72,36.3
179,000610.SZ,15.21,7.97,6.2
180,000611.SZ,4.13,3.43,50.0
181,000612.SZ,4.88,3.62,32.2
182,000613.SZ,7.45,7.75,76.5
183,000615.SZ,7.02,4.03,9.7
184,000616.SZ,3.4,2.31,22.2
185,000617.SZ,13.29,10.18,38.5
186,000619.SZ,6.36,4.93,40.5
187,000620.SZ,4.58,2.93,16.7
188,000622.SZ,6.48,4.27,19.5
189,000623.SZ,17.44,15.62,61.2
190,000625.SZ,8.12,9.82,86.3
191,000626.SZ,8.4,6.95,50.0
192,000627.SZ,6.49,5.69,58.2
193,000628.SZ,10.68,8.62,46.1
194,000629.SZ,3.49,2.19,15.6
195,000630.SZ,2.47,1.98,44.4
196,000631.SZ,3.5,2.81,44.4
197,000632.SZ,4.7,4.37,65.1
198,000633.SZ,5.73,3.99,25.4
199,000635.SZ,9.76,7.27,32.2
200,000636.SZ,15.2,17.73,84.9
201,000637.SZ,4.69,4.31,63.9
202,000638.SZ,6.89,4.26,14.6
203,000639.SZ,10.15,6.13,12.4
204,000650.SZ,6.38,6.39,72.8
205,000651.SZ,45.63,51.96,83.4
206,000652.SZ,4.46,9.94,98.8
207,000655.SZ,5.41,4.8,59.7
208,000656.SZ,7.01,8.02,83.4
209,000657.SZ,6.51,5.44,52.0
210,000659.SZ,3.44,2.14,14.6
211,000661.SZ,306.99,536.78,96.8
212,000662.SZ,7.03,4.44,15.6
213,000663.SZ,7.4,3.84,6.2
214,000665.SZ,9.09,5.45,12.4
215,000666.SZ,13.79,9.46,23.7
216,000667.SZ,2.73,2.71,71.9
217,000668.SZ,12.54,11.31,61.2
218,000669.SZ,6.34,2.27,1.2
219,000671.SZ,7.87,7.01,59.7
220,000672.SZ,11.12,19.48,96.8
221,000673.SZ,5.08,2.74,7.5
222,000676.SZ,10.33,7.29,27.0
223,000677.SZ,4.89,3.19,18.0
224,000679.SZ,4.79,3.16,19.5
225,000680.SZ,3.97,3.14,42.5
226,000681.SZ,25.5,15.76,14.6
227,000682.SZ,6.01,4.83,44.4
228,000683.SZ,2.91,1.97,22.2
229,000685.SZ,8.31,7.57,62.5
230,000686.SZ,9.25,8.19,59.7
231,000687.SZ,8.81,3.47,1.8
232,000688.SZ,11.98,19.17,95.4
233,000690.SZ,7.98,5.23,19.5
234,000691.SZ,5.03,3.97,42.5
235,000692.SZ,3.3,2.72,48.0
236,000695.SZ,10.68,7.74,28.5
237,000697.SZ,13.66,9.03,19.5
238,000698.SZ,4.31,3.52,48.0
239,000700.SZ,3.79,8.88,99.1
240,000701.SZ,7.69,4.26,8.2
241,000702.SZ,6.5,5.96,63.9
242,000703.SZ,14.93,11.75,42.5
243,000705.SZ,7.36,7.04,68.6
244,000707.SZ,3.85,2.9,34.3
245,000708.SZ,11.96,26.51,98.7
246,000709.SZ,3.35,2.12,15.6
247,000710.SZ,41.68,36.31,56.7
248,000711.SZ,6.97,4.11,11.5
249,000712.SZ,13.12,12.92,71.0
250,000713.SZ,5.7,9.66,96.4
251,000715.SZ,8.7,5.74,19.5
252,000716.SZ,5.36,4.11,38.5
253,000717.SZ,5.59,3.71,19.5
254,000718.SZ,3.94,3.07,40.5
255,000719.SZ,8.55,6.6,38.5
256,000720.SZ,5.51,5.95,79.6
257,000721.SZ,6.04,4.21,25.4
258,000722.SZ,8.11,5.68,25.4
259,000723.SZ,8.39,6.76,46.1
260,000725.SZ,3.82,3.82,72.8
261,000726.SZ,10.48,8.55,48.0
262,000727.SZ,2.64,1.72,18.0
263,000728.SZ,9.72,8.15,52.0
264,000729.SZ,6.25,5.92,67.5
265,000731.SZ,6.83,4.71,23.7
266,000732.SZ,17.48,5.17,0.5
267,000733.SZ,14.69,19.23,89.6
268,000735.SZ,12.06,10.61,58.2
269,000736.SZ,8.92,7.92,59.7
270,000737.SZ,4.46,2.67,12.4
271,000738.SZ,14.98,11.9,42.5
272,000739.SZ,11.01,18.63,96.4
273,000750.SZ,5.71,4.37,38.5
274,000751.SZ,3.58,2.74,38.5
275,000752.SZ,8.02,4.1,5.6
