,ts_code,basic_eps_yoy
5269,000949.SZ,14.5717
5270,000949.SZ,14.7989
5294,000951.SZ,34.8148
5295,000951.SZ,11.9266
5417,000965.SZ,90.0
5418,000965.SZ,-108.8235
5466,000969.SZ,175.719
5467,000969.SZ,237.5
5515,000973.SZ,-66.6667
5516,000973.SZ,139.5349
5528,000975.SZ,31.2799
5529,000975.SZ,38.7257
5565,000978.SZ,-31.3901
5566,000978.SZ,-30.4545
5643,000987.SZ,119.4872
5644,000987.SZ,268.9394
5692,000993.SZ,127.0588
5693,000993.SZ,358.1849
5745,000999.SZ,47.9452
5746,000999.SZ,76.3158
5758,001696.SZ,12.7946
5759,001696.SZ,15.4688
5783,001896.SZ,115.1568
5784,001896.SZ,166.1509
5796,001914.SZ,-68.1563
5797,001914.SZ,-83.3481
5905,002007.SZ,-4.7568
5906,002007.SZ,11.998
5955,002011.SZ,105.9322
5956,002011.SZ,1000.0
5968,002012.SZ,100.0
5969,002012.SZ,100.0
5981,002013.SZ,12.5
5982,002013.SZ,14.2857
5994,002014.SZ,20.0
5995,002014.SZ,23.3333
6063,002020.SZ,42.6614
6064,002020.SZ,51.0638
6100,002023.SZ,25.0
6101,002023.SZ,2.8037
6125,002025.SZ,11.9048
6126,002025.SZ,11.2903
6222,002033.SZ,6.1944
6223,002033.SZ,-8.9358
6295,002039.SZ,-21.0911
6296,002039.SZ,-2.3991
6380,002046.SZ,19.0476
6381,002046.SZ,-14.1975
6417,002049.SZ,16.6202
6418,002049.SZ,26.8663
6466,002053.SZ,9.8376
6467,002053.SZ,50.3264
6479,002054.SZ,116.6667
6480,002054.SZ,171.6005
6504,002056.SZ,0.0
6505,002056.SZ,-6.25
6529,002058.SZ,-433.3333
6530,002058.SZ,-637.5
6554,002060.SZ,16.5269
6555,002060.SZ,32.1669
6627,002066.SZ,48.3957
6628,002066.SZ,26.3456
6640,002067.SZ,-43.3333
6641,002067.SZ,-57.5758
6726,002075.SZ,-54.717
6727,002075.SZ,-62.7277
6787,002080.SZ,14.1608
6788,002080.SZ,5.1247
6836,002084.SZ,218.1159
6837,002084.SZ,217.4927
6993,002097.SZ,16.3838
6994,002097.SZ,4.402
7018,002099.SZ,26.3158
7019,002099.SZ,50.0
7103,002106.SZ,25.0
7104,002106.SZ,32.4468
7200,002114.SZ,110.0
7201,002114.SZ,102.3256
7237,002117.SZ,3.8674
7238,002117.SZ,5.1854
7262,002119.SZ,19.0476
7263,002119.SZ,23.5294
7383,002129.SZ,38.7345
7384,002129.SZ,59.292
7444,002134.SZ,120.8333
7445,002134.SZ,160.0
7457,002135.SZ,52.9412
7458,002135.SZ,64.2857
7470,002136.SZ,-29.7575
7471,002136.SZ,-40.8827
7495,002138.SZ,-15.2542
7496,002138.SZ,-15.9091
7508,002139.SZ,50.0
7509,002139.SZ,35.0
7521,002140.SZ,17.8571
7522,002140.SZ,7.5574
7582,002145.SZ,8.1633
7583,002145.SZ,5.2685
7595,002146.SZ,20.6897
7596,002146.SZ,30.2326
7668,002152.SZ,10.7143
7669,002152.SZ,16.6667
7705,002155.SZ,-40.9091
7706,002155.SZ,-43.3937
7718,002156.SZ,-81.8182
7719,002156.SZ,-114.2857
7791,002162.SZ,55.7895
7792,002162.SZ,73.5931
7804,002163.SZ,50.0
7805,002163.SZ,116.6667
7829,002165.SZ,200.0
7830,002165.SZ,175.0
7854,002167.SZ,-2433.3333
7855,002167.SZ,-1750.0
8000,002179.SZ,11.872
8001,002179.SZ,17.8927
8025,002181.SZ,53.8298
8026,002181.SZ,286.6953
8038,002182.SZ,176.2998
8039,002182.SZ,109.0055
8051,002183.SZ,-55.5556
8052,002183.SZ,-83.3333
8088,002186.SZ,-38.8936
8089,002186.SZ,-59.0931
8130,002190.SZ,412.9303
8131,002190.SZ,700.3961
8251,002200.SZ,114.0519
8252,002200.SZ,112.0047
8276,002202.SZ,-37.8112
8277,002202.SZ,-40.0452
8325,002206.SZ,-3.4483
8326,002206.SZ,-12.5
8350,002208.SZ,30.7263
8351,002208.SZ,-49.258
8387,002211.SZ,-891.8288
8388,002211.SZ,-98.5207
8556,002225.SZ,8.0
8557,002225.SZ,15.7895
8629,002231.SZ,136.0634
8630,002231.SZ,108.3333
8654,002233.SZ,0.8093
8655,002233.SZ,-15.6674
8691,002236.SZ,26.4368
8692,002236.SZ,18.5185
8704,002237.SZ,-24.4444
8705,002237.SZ,-21.6216
8717,002238.SZ,-3.125
8718,002238.SZ,6.4728
8766,002242.SZ,8.0808
8767,002242.SZ,9.4595
8779,002243.SZ,55.6081
8780,002243.SZ,69.0188
8804,002245.SZ,-47.8469
8805,002245.SZ,-56.6741
8841,002248.SZ,104.8128
8842,002248.SZ,105.4545
8914,002254.SZ,34.6154
8915,002254.SZ,8.6957
8951,002258.SZ,-46.1476
8952,002258.SZ,-44.02
8981,002261.SZ,100.0
8982,002261.SZ,101.6129
8995,002262.SZ,26.9231
8996,002262.SZ,23.2553
9272,002285.SZ,-80.0
9273,002285.SZ,-83.3333
9357,002292.SZ,107.5
9358,002292.SZ,80.0
9382,002294.SZ,-54.8387
9383,002294.SZ,-51.0791
9408,002296.SZ,141.4286
9409,002296.SZ,141.8478
9446,002299.SZ,171.8508
9447,002299.SZ,236.3174
9459,002300.SZ,71.9577
9460,002300.SZ,62.8244
9484,002302.SZ,116.6667
9485,002302.SZ,174.2501
9497,002303.SZ,34.0491
9498,002303.SZ,3.7855
9602,002312.SZ,139.1688
9603,002312.SZ,38.0909
9639,002315.SZ,166.6667
9640,002315.SZ,148.1481
9676,002318.SZ,63.8889
9677,002318.SZ,76.9231
9701,002320.SZ,4.0452
9702,002320.SZ,-43.75
9750,002324.SZ,66.6667
9751,002324.SZ,128.0497
9860,002333.SZ,132.0092
9861,002333.SZ,157.5873
9909,002337.SZ,100.0
9910,002337.SZ,66.6667
9994,002344.SZ,-21.4286
9995,002344.SZ,-17.3913
10067,002350.SZ,-21.0235
10068,002350.SZ,-30.3983
10092,002352.SZ,28.1553
10093,002352.SZ,44.1176
10105,002353.SZ,121.875
10106,002353.SZ,147.3684
10213,002362.SZ,134.057
10214,002362.SZ,2.6699
10274,002367.SZ,1527.1795
10275,002367.SZ,223.9744
10311,002370.SZ,-1089.7436
10312,002370.SZ,-96.7742
10420,002379.SZ,3667.7419
10421,002379.SZ,3730.0
10613,002395.SZ,36.1736
10614,002395.SZ,44.9679
10626,002396.SZ,5.1676
10627,002396.SZ,19.3333
10651,002398.SZ,61.1111
10652,002398.SZ,50.0
10688,002401.SZ,16.1867
10689,002401.SZ,4.2654
10701,002402.SZ,35.2208
10702,002402.SZ,29.2273
10726,002404.SZ,8.0
10727,002404.SZ,16.6667
10799,002410.SZ,-46.8009
10800,002410.SZ,-46.2333
10908,002419.SZ,-4.99
10909,002419.SZ,-3.1556
11017,002428.SZ,-1000.0
11018,002428.SZ,-214.2857
11030,002429.SZ,154.065
11031,002429.SZ,88.8183
11115,002436.SZ,42.8571
11116,002436.SZ,33.3333
11140,002438.SZ,65.3595
11141,002438.SZ,107.6923
11177,002441.SZ,7.8947
11178,002441.SZ,17.6471
11190,002442.SZ,-85.5335
11191,002442.SZ,-75.5632
11275,002449.SZ,-8.6704
11276,002449.SZ,-18.3871
11312,002452.SZ,158.9247
11313,002452.SZ,400.0
11385,002458.SZ,501.5873
11386,002458.SZ,1013.0435
11398,002459.SZ,69.3333
11399,002459.SZ,-393.9306
11423,002461.SZ,29.4118
11424,002461.SZ,43.3659
11448,002463.SZ,109.862
11449,002463.SZ,120.533
11473,002465.SZ,21.0526
11474,002465.SZ,18.1818
11522,002469.SZ,87.5
11523,002469.SZ,16.5436
11547,002471.SZ,-642.3477
11548,002471.SZ,-123.3122
11703,002484.SZ,-1.2048
11704,002484.SZ,-4.7597
11776,002490.SZ,-312.2519
11777,002490.SZ,-141.7252
11801,002492.SZ,-8.5091
11802,002492.SZ,-18.8474
11826,002494.SZ,1.8307
11827,002494.SZ,1.9169
11863,002497.SZ,-63.1579
11864,002497.SZ,-40.4128
11984,002507.SZ,-8.3333
11985,002507.SZ,0.0
12117,002518.SZ,37.5
12118,002518.SZ,5.2632
12130,002519.SZ,113.5922
12131,002519.SZ,24.2268
12155,002521.SZ,125.0
12156,002521.SZ,72.7273
12300,002534.SZ,51.5152
12301,002534.SZ,42.3077
12349,002538.SZ,-21.4286
12350,002538.SZ,7.6923
12446,002546.SZ,5.2632
12447,002546.SZ,6.4516
12519,002552.SZ,100.0
12520,002552.SZ,125.0
12532,002553.SZ,-53.1841
12533,002553.SZ,-54.4359
12557,002555.SZ,112.766
12558,002555.SZ,29.8246
12582,002557.SZ,39.5785
12583,002557.SZ,32.3283
12631,002561.SZ,-8.9286
12632,002561.SZ,-9.7561
12668,002564.SZ,-44.4444
12669,002564.SZ,-35.0025
12717,002568.SZ,190.0
12718,002568.SZ,120.0
12766,002572.SZ,13.4615
12767,002572.SZ,5.2589
12851,002579.SZ,81.8182
12852,002579.SZ,81.25
13020,002593.SZ,0.0
13021,002593.SZ,0.0
13045,002595.SZ,16.7334
13046,002595.SZ,12.7757
13070,002597.SZ,-10.4938
13071,002597.SZ,-17.9104
13119,002601.SZ,12.1739
13120,002601.SZ,6.1224
13185,002607.SZ,31.8182
13186,002607.SZ,60.0
13606,002642.SZ,102.6156
13607,002642.SZ,401.5625
13679,002648.SZ,34.8315
13680,002648.SZ,47.4576
13800,002658.SZ,-23.3333
13801,002658.SZ,-30.4348
13981,002673.SZ,150.0
13982,002673.SZ,50.0
14178,002690.SZ,21.6
14179,002690.SZ,25.4649
14239,002695.SZ,26.1765
14240,002695.SZ,24.2424
14264,002697.SZ,58.3333
14265,002697.SZ,57.8947
14361,002706.SZ,25.0
14362,002706.SZ,14.2857
14442,002714.SZ,1558.8235
14443,002714.SZ,288.2353
14455,002715.SZ,-63.7097
14456,002715.SZ,-55.6745
14542,002723.SZ,142.2989
14543,002723.SZ,464.8699
14555,002724.SZ,-35.9589
14556,002724.SZ,35.4814
14569,002725.SZ,-27.7778
14570,002725.SZ,50.0
14594,002727.SZ,15.9093
14595,002727.SZ,15.6538
14607,002728.SZ,8.9744
14608,002728.SZ,11.6667
14692,002735.SZ,-37.5
14693,002735.SZ,11.4286
14706,002736.SZ,47.37
14707,002736.SZ,109.52
14779,002742.SZ,12.6267
14780,002742.SZ,3.3058
14816,002746.SZ,148.2759
14817,002746.SZ,195.7447
14925,002756.SZ,-12.037
14926,002756.SZ,8.6957
14962,002759.SZ,-123.8095
14963,002759.SZ,-57.8947
15096,002771.SZ,-25.0
15097,002771.SZ,-55.5556
15133,002774.SZ,-71.4286
15134,002774.SZ,-96.4072
15230,002782.SZ,-73.7845
15231,002782.SZ,2.0022
15363,002795.SZ,-26.8293
15364,002795.SZ,-6.3158
15388,002797.SZ,305.56
15389,002797.SZ,150.0
15401,002798.SZ,47.5248
15402,002798.SZ,55.2585
15414,002799.SZ,131.5789
15415,002799.SZ,172.7273
15427,002800.SZ,237.5
15428,002800.SZ,5148.5294
15440,002801.SZ,68.6747
15441,002801.SZ,52.1739
15465,002803.SZ,40.7407
15466,002803.SZ,-4.322
15502,002807.SZ,22.9533
15503,002807.SZ,25.5302
15539,002810.SZ,113.4966
15540,002810.SZ,116.5644
15564,002812.SZ,47.2222
15565,002812.SZ,69.5652
15625,002818.SZ,9.1837
15626,002818.SZ,6.6667
15638,002819.SZ,12.6101
15639,002819.SZ,14.5205
15663,002821.SZ,28.7234
15664,002821.SZ,39.1304
15712,002825.SZ,-14.2857
15713,002825.SZ,-31.8182
15858,002838.SZ,88.8889
15859,002838.SZ,36.6667
15932,002845.SZ,12.2449
15933,002845.SZ,-16.2791
15957,002847.SZ,80.7018
15958,002847.SZ,63.6364
15994,002850.SZ,189.7436
15995,002850.SZ,233.3333
16031,002853.SZ,24.1758
16032,002853.SZ,21.2121
16080,002858.SZ,-36.6667
16081,002858.SZ,49.4005
16093,002859.SZ,157.1429
16094,002859.SZ,-57.4074
16107,002860.SZ,36.9048
16108,002860.SZ,49.2537
16120,002861.SZ,11.3208
16121,002861.SZ,-4.878
16145,002863.SZ,-11.7647
16146,002863.SZ,-20.0
16170,002865.SZ,-60.0
16171,002865.SZ,-171.875
16291,002876.SZ,81.4815
16292,002876.SZ,4.5455
16328,002879.SZ,16.6667
16329,002879.SZ,10.2041
16341,002880.SZ,9.3912
16342,002880.SZ,1.0
16366,002882.SZ,14.4716
16367,002882.SZ,18.3875
16403,002885.SZ,-34.0909
16404,002885.SZ,-52.0168
16464,002890.SZ,-69.0476
16465,002890.SZ,-82.9268
16477,002891.SZ,39.3939
16478,002891.SZ,8.0
16514,002895.SZ,135.6322
16515,002895.SZ,114.6386
16599,002902.SZ,4.7308
16600,002902.SZ,-54.1045
16612,002903.SZ,-86.9565
16613,002903.SZ,-120.8451
16625,002905.SZ,-32.2034
16626,002905.SZ,-23.5294
16674,002909.SZ,363.6364
16675,002909.SZ,431.25
16723,002913.SZ,-48.4848
16724,002913.SZ,10.8434
16749,002916.SZ,49.0909
16750,002916.SZ,75.9615
16763,002917.SZ,-5.5556
16764,002917.SZ,2.0607
16812,002921.SZ,3.5714
16813,002921.SZ,-14.3987
16825,002922.SZ,34.375
16826,002922.SZ,1.9111
16850,002925.SZ,17.6796
16851,002925.SZ,4.4118
16863,002926.SZ,66.67
16864,002926.SZ,38.71
16876,002927.SZ,-2.2727
16877,002927.SZ,6.7563
16913,002930.SZ,-4.4444
16914,002930.SZ,0.0
16970,002936.SZ,0.0
16971,002936.SZ,-6.1538
17251,002967.SZ,34.6939
17252,002967.SZ,16.6667
17377,003816.SZ,5.2356
17378,003816.SZ,20.9115
17414,300003.SZ,42.4854
17415,300003.SZ,41.8666
17439,300005.SZ,162.5611
17440,300005.SZ,296.1268
17464,300007.SZ,-266.6667
17465,300007.SZ,32.2581
17489,300009.SZ,-53.8462
17490,300009.SZ,8.6957
17514,300011.SZ,107.4017
17515,300011.SZ,9.839
17575,300016.SZ,133.3333
17576,300016.SZ,32.2755
17612,300019.SZ,102.0325
17613,300019.SZ,302.2436
17637,300021.SZ,23.0769
17638,300021.SZ,46.5181
17662,300023.SZ,32.4176
17663,300023.SZ,-938.488
17747,300030.SZ,118.1818
17748,300030.SZ,40.0
17784,300033.SZ,41.5254
17785,300033.SZ,44.0678
17797,300034.SZ,37.2417
17798,300034.SZ,75.4221
17822,300036.SZ,32.4324
17823,300036.SZ,20.8333
18015,300052.SZ,42.8571
18016,300052.SZ,100.0
18076,300057.SZ,-8.7199
18077,300057.SZ,-0.5124
18101,300059.SZ,79.2124
18102,300059.SZ,64.2195
18178,300066.SZ,95.7447
18179,300066.SZ,43.1078
18191,300067.SZ,15.6062
18192,300067.SZ,-9.9656
18276,300074.SZ,25.3623
18277,300074.SZ,214.6341
18492,300092.SZ,540.0
18493,300092.SZ,481.25
18645,300105.SZ,66.8712
18646,300105.SZ,-197.0874
18670,300107.SZ,-50.5502
18671,300107.SZ,-43.1894
18707,300110.SZ,6.8249
18708,300110.SZ,-11.8367
18756,300114.SZ,10.6178
18757,300114.SZ,38.4615
18770,300115.SZ,119.8582
18771,300115.SZ,7.1392
18816,300119.SZ,66.406
18817,300119.SZ,38.8316
18829,300120.SZ,-5.1635
18830,300120.SZ,-13.1237
18842,300121.SZ,-53.4653
18843,300121.SZ,-61.9565
18915,300127.SZ,-4.1667
18916,300127.SZ,-10.5263
18940,300129.SZ,1363.0137
18941,300129.SZ,529.5302
18953,300130.SZ,-1.9231
18954,300130.SZ,106.4516
19098,300142.SZ,-86.4364
19099,300142.SZ,32.0405
19147,300146.SZ,-134.7826
19148,300146.SZ,11.1111
19220,300152.SZ,102.1277
19221,300152.SZ,135.1499
19245,300154.SZ,4.1667
19246,300154.SZ,5.2632
19486,300174.SZ,-35.2192
19487,300174.SZ,-19.6061
19547,300179.SZ,79.2049
19548,300179.SZ,54.6655
19596,300183.SZ,10.4615
19597,300183.SZ,-1.2037
19633,300187.SZ,134.6154
19634,300187.SZ,63.6364
19646,300188.SZ,-5.2632
19647,300188.SZ,-171.6667
19707,300193.SZ,13.1579
19708,300193.SZ,25.0
19720,300194.SZ,183.3333
19721,300194.SZ,0.0
19745,300196.SZ,12.6984
19746,300196.SZ,23.913
19806,300201.SZ,-54.536
19807,300201.SZ,-51.6129
19843,300204.SZ,-78.5714
19844,300204.SZ,-64.0
19916,300210.SZ,200.0
19917,300210.SZ,-230.0
19930,300211.SZ,27.2727
19931,300211.SZ,23.4043
19955,300213.SZ,18.1818
19956,300213.SZ,28.2819
19980,300215.SZ,29.4118
19981,300215.SZ,25.0
20073,300223.SZ,332.3442
20074,300223.SZ,211.6795
20086,300224.SZ,210.0
20087,300224.SZ,42.8571
20123,300227.SZ,0.4565
20124,300227.SZ,-14.6825
20172,300231.SZ,17.0931
20173,300231.SZ,18.3422
20209,300234.SZ,184.0
20210,300234.SZ,3025.0
20222,300235.SZ,171.4286
20223,300235.SZ,88.2919
20283,300240.SZ,125.0
20284,300240.SZ,-36.3636
20308,300242.SZ,100.6794
20309,300242.SZ,-30.4015
20333,300244.SZ,-21.1268
20334,300244.SZ,6.9824
20442,300253.SZ,29.8366
20443,300253.SZ,39.8515
20659,300271.SZ,10.4478
20660,300271.SZ,4.878
20828,300285.SZ,-10.3448
20829,300285.SZ,-9.7561
20841,300286.SZ,20.0
20842,300286.SZ,22.2222
20878,300289.SZ,-83.7137
20879,300289.SZ,-82.106
20963,300296.SZ,-44.4623
20964,300296.SZ,-15.4506
21060,300304.SZ,0.0
21061,300304.SZ,0.5213
21073,300305.SZ,25.6342
21074,300305.SZ,38.7487
21134,300310.SZ,101.81
21135,300310.SZ,104.6875
21183,300314.SZ,120.0
21184,300314.SZ,7.6037
21256,300320.SZ,27.5862
21257,300320.SZ,17.5713
21281,300322.SZ,53.3333
21282,300322.SZ,108.3333
21294,300323.SZ,-500.0
21295,300323.SZ,-227.451
21343,300327.SZ,12.5717
21344,300327.SZ,-1.7915
21380,300330.SZ,127.2727
21381,300330.SZ,106.1825
21513,300341.SZ,0.2414
21514,300341.SZ,10.1768
21526,300342.SZ,43.4783
21527,300342.SZ,8.6957
21563,300345.SZ,116.9231
21564,300345.SZ,174.8895
21672,300354.SZ,58.8235
21673,300354.SZ,69.2308
21710,300357.SZ,28.08
21711,300357.SZ,30.2544
21723,300358.SZ,11.1111
21724,300358.SZ,-64.2857
21770,300363.SZ,34.6154
21771,300363.SZ,19.0476
21867,300371.SZ,34.2218
21868,300371.SZ,31.1688
21913,300375.SZ,-33.3333
21914,300375.SZ,-54.3393
21926,300376.SZ,-25.0
21927,300376.SZ,-29.1667
21999,300382.SZ,-29.1667
22000,300382.SZ,6.6667
22084,300389.SZ,-55.5189
22085,300389.SZ,-29.2609
22157,300395.SZ,15.5198
22158,300395.SZ,18.9455
22182,300397.SZ,150.7042
22183,300397.SZ,174.0196
22195,300398.SZ,-25.3731
22196,300398.SZ,-40.0
22232,300401.SZ,12.5
22233,300401.SZ,36.1702
22257,300403.SZ,0.1853
22258,300403.SZ,-7.6846
22294,300406.SZ,10.0
22295,300406.SZ,7.5
22319,300408.SZ,-34.2105
22320,300408.SZ,-27.7778
22392,300414.SZ,-51.6129
22393,300414.SZ,-11.3316
22417,300416.SZ,18.1818
22418,300416.SZ,13.8889
22656,300436.SZ,-33.3333
22657,300436.SZ,134.6604
22741,300443.SZ,75.5102
22742,300443.SZ,69.2596
22838,300451.SZ,43.3333
