,ts_code,EPS,SMR,EPS_Stability
324,300320.SZ,72.1,55.7,29.7
325,300322.SZ,56.4,24.1,68.3
326,300323.SZ,5.8,0.3,82.6
327,300327.SZ,58.6,61.4,33.9
328,300342.SZ,31.1,79.4,29.3
329,300345.SZ,3.3,85.2,86.2
330,300357.SZ,70.1,82.8,6.1
331,300358.SZ,18.9,40.1,39.8
332,300363.SZ,27.5,87.0,38.7
333,300375.SZ,14.7,7.9,29.2
334,300395.SZ,57.5,55.0,14.5
335,300398.SZ,60.0,28.6,75.2
336,300401.SZ,85.5,50.2,73.9
337,300403.SZ,23.5,45.4,22.0
338,300406.SZ,39.0,65.3,14.7
339,300408.SZ,24.2,15.5,20.6
340,300414.SZ,16.9,37.1,32.5
341,300436.SZ,9.3,5.5,56.7
342,300443.SZ,41.4,74.8,53.0
343,300451.SZ,84.5,64.7,88.2
344,300453.SZ,59.2,77.6,24.3
345,300458.SZ,95.4,70.0,97.2
346,300468.SZ,46.2,66.1,20.7
347,300479.SZ,44.5,98.8,53.1
348,300480.SZ,57.7,67.6,26.0
349,300481.SZ,66.4,63.3,13.0
350,300482.SZ,72.6,78.6,12.3
351,300483.SZ,97.1,99.6,84.5
352,300488.SZ,65.6,78.3,31.1
353,300496.SZ,74.7,70.3,48.4
354,300505.SZ,33.1,39.4,13.8
355,300520.SZ,84.6,85.5,85.5
356,300522.SZ,32.2,54.6,17.8
357,300529.SZ,74.4,87.8,15.2
358,300532.SZ,73.9,94.6,53.4
359,300554.SZ,17.2,8.0,66.8
360,300563.SZ,38.5,63.6,9.0
361,300570.SZ,48.8,13.3,33.2
362,300575.SZ,59.6,12.4,45.2
363,300579.SZ,40.2,62.2,67.8
364,300580.SZ,32.1,45.1,6.9
365,300617.SZ,18.3,38.2,10.1
366,300618.SZ,92.8,4.7,85.2
367,300620.SZ,25.7,39.0,39.4
368,300621.SZ,22.3,17.4,50.9
369,300632.SZ,76.1,48.8,40.2
370,300636.SZ,40.4,94.2,47.9
371,300637.SZ,56.6,17.3,51.3
372,300647.SZ,11.3,99.9,34.7
373,300650.SZ,26.1,35.7,32.0
374,300658.SZ,28.4,76.5,54.9
375,300659.SZ,81.1,95.4,79.1
376,300661.SZ,50.1,89.3,27.1
377,300680.SZ,95.9,99.2,78.0
378,300681.SZ,7.5,1.9,62.9
379,300682.SZ,91.0,94.1,100.0
380,300686.SZ,99.4,100.0,93.1
381,300699.SZ,64.9,75.2,30.4
382,300701.SZ,45.0,68.5,21.3
383,300706.SZ,11.6,12.0,35.7
384,300708.SZ,13.1,80.8,72.9
385,300721.SZ,9.0,5.7,33.3
386,300725.SZ,76.8,74.4,28.1
387,300726.SZ,47.2,71.4,36.2
388,300727.SZ,32.4,23.4,41.8
389,300738.SZ,56.7,81.9,50.6
390,300741.SZ,21.4,58.5,3.7
391,600008.SH,46.1,51.3,10.8
392,600009.SH,60.3,61.1,4.0
393,600011.SH,9.1,11.3,61.4
394,600012.SH,38.2,41.8,4.4
395,600016.SH,36.4,26.7,0.4
396,600017.SH,82.2,23.5,37.8
397,600021.SH,67.5,33.1,58.0
398,600022.SH,89.2,7.7,96.3
399,600026.SH,86.0,96.3,79.0
400,600027.SH,88.1,73.7,98.2
401,600028.SH,42.7,16.5,49.0
402,600029.SH,15.8,17.6,32.4
403,600030.SH,40.9,33.6,30.6
404,600033.SH,40.1,65.4,7.7
405,600036.SH,49.8,27.7,0.6
406,600038.SH,46.3,35.4,13.1
407,600050.SH,97.9,29.5,73.4
408,600051.SH,84.8,97.8,75.5
409,600058.SH,0.6,62.8,94.6
410,600061.SH,36.2,16.7,55.3
411,600062.SH,50.5,54.9,3.6
412,600066.SH,13.7,14.9,16.5
413,600067.SH,61.1,10.8,89.8
414,600068.SH,52.0,22.0,8.0
415,600085.SH,31.4,31.0,3.0
416,600106.SH,21.3,66.5,15.1
417,600109.SH,30.3,37.2,25.0
418,600115.SH,23.8,36.0,28.4
419,600116.SH,28.5,12.2,23.9
420,600120.SH,20.1,61.7,27.8
421,600125.SH,65.3,22.5,31.3
422,600127.SH,6.9,54.4,89.9
423,600130.SH,6.1,1.8,79.8
424,600161.SH,90.3,47.2,99.4
425,600171.SH,92.0,60.4,74.8
426,600176.SH,49.9,32.1,24.9
427,600183.SH,64.0,71.6,32.2
428,600196.SH,33.3,53.8,9.7
429,600200.SH,10.4,88.1,87.8
430,600201.SH,15.5,8.9,38.2
431,600202.SH,89.9,72.3,89.1
432,600211.SH,47.9,88.0,50.1
433,600222.SH,0.8,84.4,93.9
434,600228.SH,13.8,2.9,82.0
435,600234.SH,17.4,97.9,92.0
436,600252.SH,53.5,76.6,22.7
437,600259.SH,2.5,86.0,92.7
438,600268.SH,55.5,75.4,70.0
439,600272.SH,45.4,10.9,38.3
440,600276.SH,65.4,82.3,1.8
441,600282.SH,97.5,15.2,97.0
442,600284.SH,37.1,52.1,5.9
443,600298.SH,60.4,46.5,37.2
444,600299.SH,16.5,30.3,23.4
445,600301.SH,6.8,83.7,94.3
446,600309.SH,78.7,39.3,67.5
447,600313.SH,4.6,26.4,81.5
448,600315.SH,76.3,41.1,47.0
449,600316.SH,95.2,83.1,98.8
450,600317.SH,70.3,22.4,28.2
451,600320.SH,70.5,87.3,27.9
452,600331.SH,2.6,92.9,91.0
453,600332.SH,64.7,51.0,48.7
454,600354.SH,3.7,22.8,89.3
455,600356.SH,30.7,44.0,30.3
456,600362.SH,79.7,62.1,46.7
457,600368.SH,80.6,57.4,64.6
458,600370.SH,38.9,18.8,45.1
459,600372.SH,40.7,47.3,56.0
460,600396.SH,0.1,52.6,96.5
461,600416.SH,1.0,7.6,92.9
462,600418.SH,7.9,26.6,61.5
463,600420.SH,51.3,66.3,28.6
464,600422.SH,40.5,63.1,21.6
465,600425.SH,96.8,90.5,99.2
466,600426.SH,81.5,24.3,59.3
467,600433.SH,74.1,59.8,57.3
468,600444.SH,98.9,20.6,84.0
469,600449.SH,96.5,69.6,71.5
470,600456.SH,96.3,73.4,76.2
471,600458.SH,4.8,10.5,77.5
472,600469.SH,96.1,97.4,98.9
473,600477.SH,41.6,14.1,60.6
474,600488.SH,54.2,33.3,20.3
475,600495.SH,86.6,92.7,73.7
476,600497.SH,76.2,13.6,95.4
477,600507.SH,87.8,15.6,74.1
478,600508.SH,45.6,36.8,95.7
479,600511.SH,50.2,44.4,2.2
480,600523.SH,23.7,21.2,41.4
481,600528.SH,35.7,26.1,6.6
482,600548.SH,77.9,71.8,43.2
483,600563.SH,37.6,44.7,4.1
484,600566.SH,58.5,62.9,17.4
485,600577.SH,68.3,39.6,32.9
486,600583.SH,8.3,13.0,63.8
487,600585.SH,83.3,40.5,40.9
488,600588.SH,87.3,71.0,64.3
489,600598.SH,38.3,58.2,49.1
490,600600.SH,59.8,50.5,15.8
491,600603.SH,36.7,83.0,31.7
492,600605.SH,21.7,10.1,58.2
493,600611.SH,61.7,25.2,50.8
494,600619.SH,59.9,30.2,61.0
495,600620.SH,33.6,57.7,44.3
496,600621.SH,82.8,92.8,64.5
497,600635.SH,23.2,25.4,63.6
498,600643.SH,63.3,48.1,7.5
499,600644.SH,39.3,76.8,58.9
500,600650.SH,34.7,30.7,11.9
501,600655.SH,51.9,56.2,67.9
502,600657.SH,53.3,48.0,47.3
503,600663.SH,48.3,55.6,26.4
504,600673.SH,94.2,67.4,75.4
505,600685.SH,0.3,49.2,97.4
506,600688.SH,13.4,9.0,48.1
507,600695.SH,22.0,65.1,87.3
508,600713.SH,58.4,35.1,14.0
509,600717.SH,14.8,28.2,12.0
510,600720.SH,91.6,73.9,82.8
511,600722.SH,52.4,5.0,80.4
512,600724.SH,5.0,9.1,81.7
513,600727.SH,87.6,88.9,71.2
514,600731.SH,90.6,68.2,74.6
515,600732.SH,85.1,86.6,91.4
516,600739.SH,59.5,51.2,62.8
517,600748.SH,49.4,41.2,26.3
518,600750.SH,39.8,75.5,3.3
519,600753.SH,97.2,88.5,96.0
520,600754.SH,49.5,71.2,6.5
521,600761.SH,54.4,44.8,14.9
522,600768.SH,96.4,41.5,96.4
523,600775.SH,19.9,7.1,51.9
524,600777.SH,91.8,75.0,80.5
525,600780.SH,82.6,31.4,86.0
526,600785.SH,75.8,20.7,52.3
527,600792.SH,89.8,45.5,93.6
528,600794.SH,5.3,96.1,87.7
529,600798.SH,53.9,26.3,91.3
530,600803.SH,66.3,16.2,71.4
531,600805.SH,8.4,1.4,86.3
532,600808.SH,84.9,8.6,70.4
533,600812.SH,96.7,95.3,76.8
534,600814.SH,47.6,36.7,26.8
535,600817.SH,83.4,7.5,90.3
536,600823.SH,36.9,30.0,1.2
537,600828.SH,70.0,36.4,22.3
538,600835.SH,19.6,18.5,4.8
539,600837.SH,54.5,69.0,51.6
540,600854.SH,78.0,12.7,69.6
541,600857.SH,3.0,41.9,84.9
542,600860.SH,6.2,6.8,72.2
543,600862.SH,92.4,13.8,87.6
544,600866.SH,6.5,93.8,83.0
545,600868.SH,78.8,90.2,69.3
546,600871.SH,97.0,98.3,99.9
547,600872.SH,64.6,57.5,18.1
548,600874.SH,37.5,36.9,14.8
549,600875.SH,80.8,49.4,95.6
550,600879.SH,23.4,23.7,19.1
551,600888.SH,87.0,18.3,63.9
552,600896.SH,8.6,2.6,89.6
553,600908.SH,44.7,33.5,2.6
554,600909.SH,64.2,86.9,59.9
555,600929.SH,25.4,34.7,9.1
556,600958.SH,60.6,78.0,59.2
557,600962.SH,97.6,2.5,93.4
558,600963.SH,98.2,20.9,85.1
559,600970.SH,79.0,34.2,28.8
560,600973.SH,26.4,42.7,37.3
561,600982.SH,44.0,79.3,53.3
562,600985.SH,50.9,90.3,15.6
563,600989.SH,68.6,42.9,19.8
564,600999.SH,48.0,76.1,52.4
565,601008.SH,59.1,61.0,51.0
566,601015.SH,12.6,4.3,64.7
567,601016.SH,80.4,59.1,48.5
568,601066.SH,35.8,69.3,40.0
569,601068.SH,8.0,4.0,52.6
570,601069.SH,83.1,98.5,68.9
571,601077.SH,34.4,19.8,5.3
572,601088.SH,69.3,27.9,52.7
573,601107.SH,31.7,54.2,17.6
574,601111.SH,23.1,19.1,25.9
575,601126.SH,18.0,31.3,57.8
576,601138.SH,27.4,25.6,0.8
577,601155.SH,84.0,85.1,74.0
578,601158.SH,65.7,47.6,44.0
579,601168.SH,8.2,81.5,85.6
580,601186.SH,46.9,32.4,1.5
581,601211.SH,21.9,63.9,25.3
582,601228.SH,37.8,56.4,14.2
583,601238.SH,39.6,7.2,45.5
584,601268.SH,18.7,8.4,77.0
585,601288.SH,28.6,22.7,1.0
586,601318.SH,71.6,49.0,23.1
587,601326.SH,79.5,42.3,71.8
588,601328.SH,34.6,20.3,0.7
589,601330.SH,42.6,75.8,20.1
590,601333.SH,18.5,15.8,23.8
591,601336.SH,77.0,67.8,40.1
592,601390.SH,62.2,34.6,18.4
593,601398.SH,33.7,22.3,0.3
594,601518.SH,29.0,27.8,34.0
595,601577.SH,49.2,35.8,5.8
596,601600.SH,89.3,51.9,97.9
597,601601.SH,70.8,39.7,37.9
598,601607.SH,39.7,42.6,2.8
599,601608.SH,88.4,36.5,92.8
600,601618.SH,31.5,19.6,2.4
601,601619.SH,65.0,56.0,39.1
602,601628.SH,93.5,94.3,67.1
603,601658.SH,44.8,23.2,5.7
604,601688.SH,60.9,84.0,34.2
605,601717.SH,95.6,43.3,62.1
606,601766.SH,28.1,18.9,21.9
607,601788.SH,91.1,53.0,68.5
608,601800.SH,40.0,23.9,7.6
609,601808.SH,99.9,95.7,95.9
610,601811.SH,57.1,52.0,16.6
611,601818.SH,31.8,28.5,3.9
612,601857.SH,90.7,18.7,92.5
613,601860.SH,29.5,18.1,4.6
614,601866.SH,89.6,64.9,97.8
615,601878.SH,21.0,51.6,30.8
616,601880.SH,53.8,59.9,58.1
617,601881.SH,45.5,73.3,50.5
618,601882.SH,44.3,20.2,26.7
619,601886.SH,41.9,19.9,18.0
620,601898.SH,77.5,69.4,72.3
621,601899.SH,68.2,43.0,87.1
622,601916.SH,37.9,24.5,1.7
623,601919.SH,93.9,97.5,95.0
624,601939.SH,35.5,22.1,0.1
625,601969.SH,1.2,80.5,94.2
626,601975.SH,72.2,92.0,53.5
627,601988.SH,34.9,21.0,1.4
628,601991.SH,60.2,73.2,60.3
629,601992.SH,48.7,27.2,61.7
630,601998.SH,34.3,21.9,2.5
631,603005.SH,72.8,91.8,55.7
632,603013.SH,25.0,50.8,25.4
633,603016.SH,26.0,37.3,28.5
634,603018.SH,73.0,63.5,13.6
635,603019.SH,73.4,37.6,46.2
636,603025.SH,43.7,32.8,42.2
637,603039.SH,33.9,80.6,13.3
638,603041.SH,33.5,84.8,46.5
639,603060.SH,46.7,50.9,25.6
640,603078.SH,12.3,38.7,18.9
641,603090.SH,20.7,30.6,25.2
642,603103.SH,20.5,38.9,15.5
643,603111.SH,3.9,85.3,83.8
644,603126.SH,26.6,16.0,42.0
645,603128.SH,48.5,40.0,18.3
646,603161.SH,17.7,15.1,13.4
647,603165.SH,72.9,20.1,60.0
648,603166.SH,51.5,49.9,49.5
649,603179.SH,52.6,18.4,55.9
650,603181.SH,68.5,49.8,24.6
651,603186.SH,29.9,60.9,45.9
652,603214.SH,53.7,52.7,6.8
653,603225.SH,59.3,21.3,62.4
654,603228.SH,45.8,50.1,17.2
655,603229.SH,21.2,69.7,66.3
656,603259.SH,58.9,64.6,51.2
657,603278.SH,22.4,14.2,33.7
658,603288.SH,62.9,69.2,1.1
659,603303.SH,24.9,42.2,27.7
660,603318.SH,0.4,0.1,96.7
661,603331.SH,28.9,33.9,22.8
662,603335.SH,10.5,24.9,34.9
663,603336.SH,30.0,39.1,12.4
664,603337.SH,38.6,11.6,30.7
665,603348.SH,12.2,12.3,29.5
666,603360.SH,75.2,93.6,44.7
667,603385.SH,42.0,58.0,43.3
668,603387.SH,62.4,83.5,10.7
669,603393.SH,57.3,75.1,19.9
670,603477.SH,15.9,13.1,23.0
671,603496.SH,14.5,27.4,21.4
672,603500.SH,25.2,25.3,40.7
