,index_code,industry_base_rank,industry_base_rps,industry_front_rank,industry_front_rps,industry_year_rank,industry_year_rps,industry_week_rank,industry_week_rps,industry_3_rank,industry_3_rps,industry_name,industry_6_rank,industry_6_rps,industry_7_rank,industry_7_rps,date
39,850351.SI,44.1,100.0,45.37,103.0,60.4,137.0,42.29,96.0,42.3,96.0,其他塑料制品,33.5,76.0,59.9,136.0,2020-05-28
40,850352.SI,10.6,24.0,87.22,198.0,56.4,128.0,71.37,162.0,77.5,176.0,合成革,34.8,79.0,13.7,31.0,2020-05-28
41,850353.SI,79.7,181.0,66.52,151.0,99.6,226.0,0.88,2.0,81.9,186.0,改性塑料,79.3,180.0,98.7,224.0,2020-05-28
42,850361.SI,38.3,87.0,41.85,95.0,14.5,33.0,17.62,40.0,6.2,14.0,轮胎,23.3,53.0,22.5,51.0,2020-05-28
43,850362.SI,43.2,98.0,51.54,117.0,86.8,197.0,46.7,106.0,47.1,107.0,其他橡胶制品,63.9,145.0,86.8,197.0,2020-05-28
44,850363.SI,28.2,64.0,48.46,110.0,14.1,32.0,33.48,76.0,54.2,123.0,炭黑,76.2,173.0,28.2,64.0,2020-05-28
45,850372.SI,2.6,6.0,30.4,69.0,8.8,20.0,51.98,118.0,32.6,74.0,聚氨酯,62.6,142.0,38.3,87.0,2020-05-28
46,850373.SI,32.6,74.0,14.98,34.0,19.8,45.0,12.33,28.0,30.4,69.0,玻纤,47.6,108.0,70.5,160.0,2020-05-28
47,850381.SI,61.7,140.0,25.99,59.0,61.2,139.0,32.16,73.0,5.3,12.0,复合肥,22.0,50.0,42.3,96.0,2020-05-28
48,850382.SI,61.2,139.0,19.82,45.0,37.9,86.0,53.3,121.0,52.0,118.0,氟化工及制冷剂,24.2,55.0,51.1,116.0,2020-05-28
49,850383.SI,7.9,18.0,30.84,70.0,27.8,63.0,53.74,122.0,41.0,93.0,磷化工及磷酸盐,8.8,20.0,22.0,50.0,2020-05-28
50,850411.SI,17.2,39.0,37.44,85.0,12.3,28.0,60.35,137.0,40.1,91.0,普钢,23.8,54.0,18.9,43.0,2020-05-28
51,850412.SI,36.1,82.0,7.49,17.0,82.8,188.0,8.37,19.0,28.6,65.0,特钢,56.8,129.0,83.7,190.0,2020-05-28
52,850521.SI,39.6,90.0,92.51,210.0,46.7,106.0,91.19,207.0,51.5,117.0,金属新材料,25.6,58.0,57.7,131.0,2020-05-28
53,850522.SI,54.2,123.0,96.48,219.0,69.6,158.0,96.48,219.0,94.7,215.0,磁性材料,92.5,210.0,85.0,193.0,2020-05-28
54,850523.SI,55.1,125.0,96.04,218.0,44.9,102.0,85.02,193.0,84.6,192.0,非金属新材料,78.9,179.0,59.0,134.0,2020-05-28
55,850531.SI,62.1,141.0,94.71,215.0,62.6,142.0,30.84,70.0,69.6,158.0,黄金,26.4,60.0,78.0,177.0,2020-05-28
56,850541.SI,58.6,133.0,61.67,140.0,41.4,94.0,27.75,63.0,96.9,220.0,稀土,89.0,202.0,53.3,121.0,2020-05-28
57,850542.SI,57.3,130.0,91.19,207.0,34.4,78.0,83.7,190.0,91.2,207.0,钨,80.6,183.0,29.5,67.0,2020-05-28
58,850543.SI,57.7,131.0,96.92,220.0,48.9,111.0,93.39,212.0,42.7,97.0,锂,73.6,167.0,95.6,217.0,2020-05-28
59,850544.SI,24.2,55.0,81.5,185.0,6.2,14.0,40.97,93.0,17.6,40.0,其他稀有小金属,40.1,91.0,50.7,115.0,2020-05-28
60,850551.SI,37.0,84.0,73.57,167.0,25.1,57.0,77.09,175.0,72.2,164.0,铝,42.3,96.0,33.5,76.0,2020-05-28
61,850552.SI,15.9,36.0,74.45,169.0,11.5,26.0,54.19,123.0,55.9,127.0,铜,29.1,66.0,26.0,59.0,2020-05-28
62,850553.SI,32.2,73.0,95.59,217.0,26.4,60.0,90.75,206.0,81.5,185.0,铅锌,37.0,84.0,34.4,78.0,2020-05-28
63,850611.SI,31.3,71.0,66.96,152.0,64.3,146.0,76.21,173.0,64.8,147.0,玻璃制造,85.9,195.0,87.2,198.0,2020-05-28
64,850612.SI,46.7,106.0,85.02,193.0,72.2,164.0,26.43,60.0,12.8,29.0,水泥制造,42.7,97.0,91.6,208.0,2020-05-28
65,850614.SI,78.4,178.0,74.01,168.0,93.8,213.0,85.46,194.0,70.5,160.0,其他建材,54.2,123.0,96.5,219.0,2020-05-28
66,850615.SI,67.4,153.0,23.79,54.0,55.9,127.0,34.36,78.0,63.9,145.0,耐火材料,70.9,161.0,47.1,107.0,2020-05-28
67,850616.SI,49.3,112.0,5.29,12.0,61.7,140.0,79.3,180.0,73.6,167.0,管材,71.4,162.0,49.8,113.0,2020-05-28
68,850623.SI,92.1,209.0,70.48,160.0,37.0,84.0,43.61,99.0,32.2,73.0,房屋建设,43.6,99.0,40.1,91.0,2020-05-28
69,850711.SI,53.3,121.0,47.58,108.0,25.6,58.0,23.79,54.0,57.7,131.0,机床工具,35.7,81.0,22.9,52.0,2020-05-28
70,850712.SI,22.5,51.0,56.39,128.0,63.9,145.0,32.6,74.0,50.2,114.0,机械基础件,44.5,101.0,65.6,149.0,2020-05-28
71,850713.SI,52.4,119.0,43.61,99.0,36.1,82.0,33.92,77.0,16.7,38.0,磨具磨料,18.9,43.0,7.9,18.0,2020-05-28
72,850714.SI,35.2,80.0,33.48,76.0,57.3,130.0,42.73,97.0,31.3,71.0,内燃机,73.1,166.0,58.6,133.0,2020-05-28
73,850715.SI,34.4,78.0,88.99,202.0,55.5,126.0,66.08,150.0,48.9,111.0,制冷空调设备,57.7,131.0,43.2,98.0,2020-05-28
74,850716.SI,64.8,147.0,54.19,123.0,55.1,125.0,54.63,124.0,65.6,149.0,其它通用机械,65.2,148.0,52.9,120.0,2020-05-28
75,850721.SI,29.1,66.0,38.33,87.0,11.0,25.0,69.16,157.0,56.4,128.0,纺织服装设备,11.0,25.0,7.5,17.0,2020-05-28
76,850722.SI,95.6,217.0,53.74,122.0,74.4,169.0,18.94,43.0,15.4,35.0,工程机械,35.2,80.0,89.9,204.0,2020-05-28
77,850723.SI,40.1,91.0,7.93,18.0,91.2,207.0,22.03,50.0,96.0,218.0,农用机械,98.2,223.0,92.5,210.0,2020-05-28
78,850724.SI,88.1,200.0,42.73,97.0,40.1,91.0,44.05,100.0,39.2,89.0,重型机械,63.0,143.0,37.9,86.0,2020-05-28
79,850725.SI,63.9,145.0,26.87,61.0,7.5,17.0,19.82,45.0,35.7,81.0,冶金矿采化工设备,41.4,94.0,4.4,10.0,2020-05-28
80,850726.SI,27.3,62.0,91.63,208.0,39.2,89.0,95.59,217.0,90.3,205.0,印刷包装机械,48.9,111.0,41.4,94.0,2020-05-28
81,850727.SI,33.5,76.0,18.5,42.0,77.5,176.0,59.91,136.0,63.0,143.0,其它专用机械,77.5,176.0,77.1,175.0,2020-05-28
82,850728.SI,66.1,150.0,26.43,60.0,46.3,105.0,82.38,187.0,72.7,165.0,楼宇设备,44.1,100.0,38.8,88.0,2020-05-28
83,850729.SI,51.1,116.0,60.79,138.0,74.0,168.0,96.92,220.0,91.6,208.0,环保设备,78.4,178.0,54.2,123.0,2020-05-28
84,850731.SI,76.7,174.0,18.06,41.0,58.6,133.0,63.88,145.0,61.7,140.0,仪器仪表,77.1,175.0,70.9,161.0,2020-05-28
85,850741.SI,55.9,127.0,44.05,100.0,20.3,46.0,77.53,176.0,71.4,162.0,电机,66.5,151.0,41.0,93.0,2020-05-28
86,850751.SI,21.1,48.0,82.38,187.0,31.3,71.0,76.65,174.0,62.1,141.0,金属制品,48.0,109.0,24.7,56.0,2020-05-28
87,850811.SI,94.7,215.0,55.07,125.0,94.3,214.0,3.96,9.0,22.9,52.0,集成电路,88.5,201.0,96.9,220.0,2020-05-28
88,850812.SI,91.6,208.0,78.85,179.0,93.0,211.0,15.42,35.0,79.7,181.0,分立器件,84.6,192.0,98.2,223.0,2020-05-28
89,850813.SI,96.0,218.0,0.44,1.0,99.1,225.0,38.77,88.0,75.8,172.0,半导体材料,99.1,225.0,100.0,227.0,2020-05-28
90,850822.SI,99.1,225.0,63.44,144.0,79.7,181.0,11.89,27.0,0.4,1.0,印制电路板,46.7,106.0,76.7,174.0,2020-05-28
91,850823.SI,87.7,199.0,20.7,47.0,74.9,170.0,65.2,148.0,50.7,115.0,被动元件,86.8,197.0,83.3,189.0,2020-05-28
92,850831.SI,75.8,172.0,68.72,156.0,30.8,70.0,38.33,87.0,51.1,116.0,显示器件,53.7,122.0,60.8,138.0,2020-05-28
93,850832.SI,81.9,186.0,25.55,58.0,57.7,131.0,21.15,48.0,66.5,151.0,LED,72.7,165.0,80.6,183.0,2020-05-28
94,850833.SI,93.8,213.0,12.78,29.0,30.4,69.0,72.69,165.0,21.1,48.0,光学元件,78.0,177.0,71.8,163.0,2020-05-28
95,850841.SI,75.3,171.0,77.53,176.0,66.1,150.0,72.25,164.0,29.1,66.0,其他电子,68.3,155.0,77.5,176.0,2020-05-28
96,850851.SI,93.0,211.0,73.13,166.0,32.6,74.0,18.5,42.0,25.6,58.0,电子系统组装,67.4,153.0,46.7,106.0,2020-05-28
97,850852.SI,89.0,202.0,52.86,120.0,67.0,152.0,28.63,65.0,8.4,19.0,电子零部件制造,74.4,169.0,82.8,188.0,2020-05-28
98,850911.SI,72.7,165.0,65.2,148.0,45.8,104.0,67.4,153.0,30.8,70.0,乘用车,58.1,132.0,52.0,118.0,2020-05-28
99,850912.SI,45.8,104.0,97.8,222.0,47.1,107.0,92.07,209.0,67.0,152.0,商用载货车,51.5,117.0,53.7,122.0,2020-05-28
100,850913.SI,48.0,109.0,93.39,212.0,18.5,42.0,87.22,198.0,19.8,45.0,商用载客车,18.1,41.0,17.2,39.0,2020-05-28
101,850921.SI,60.8,138.0,48.02,109.0,48.0,109.0,51.1,116.0,34.8,79.0,汽车零部件,50.7,115.0,62.6,142.0,2020-05-28
102,850935.SI,47.6,108.0,68.28,155.0,7.9,18.0,30.4,69.0,55.1,125.0,船舶制造,30.8,70.0,5.7,13.0,2020-05-28
103,850936.SI,25.6,58.0,34.8,79.0,18.1,41.0,13.66,31.0,15.9,36.0,铁路设备,15.0,34.0,12.8,29.0,2020-05-28
104,850941.SI,29.5,67.0,29.52,67.0,34.8,79.0,10.57,24.0,11.5,26.0,汽车服务,14.5,33.0,18.5,42.0,2020-05-28
105,851012.SI,81.5,185.0,59.03,134.0,70.5,160.0,7.05,16.0,10.1,23.0,终端设备,55.5,126.0,55.1,125.0,2020-05-28
106,851013.SI,37.4,85.0,22.03,50.0,65.6,149.0,2.2,5.0,1.3,3.0,通信传输设备,17.2,39.0,60.4,137.0,2020-05-28
107,851014.SI,79.3,180.0,62.11,141.0,52.0,118.0,14.1,32.0,2.6,6.0,通信配套服务,20.3,46.0,56.4,128.0,2020-05-28
108,851021.SI,71.8,163.0,69.6,158.0,70.0,159.0,14.98,34.0,7.5,17.0,计算机设备,64.3,146.0,67.0,152.0,2020-05-28
109,851111.SI,67.0,152.0,31.28,71.0,9.3,21.0,93.83,213.0,84.1,191.0,冰箱,70.5,160.0,40.5,92.0,2020-05-28
110,851112.SI,85.9,195.0,74.89,170.0,39.6,90.0,71.81,163.0,77.1,175.0,空调,86.3,196.0,47.6,108.0,2020-05-28
111,851113.SI,44.9,102.0,6.61,15.0,37.4,85.0,57.27,130.0,4.0,9.0,洗衣机,1.3,3.0,21.1,48.0,2020-05-28
112,851114.SI,66.5,151.0,71.37,162.0,69.2,157.0,94.71,215.0,85.0,193.0,小家电,88.1,200.0,69.6,158.0,2020-05-28
113,851115.SI,63.0,143.0,4.85,11.0,87.2,198.0,19.38,44.0,34.4,78.0,家电零部件,83.7,190.0,91.2,207.0,2020-05-28
114,851121.SI,65.2,148.0,50.22,114.0,85.9,195.0,6.17,14.0,49.3,112.0,彩电,59.5,135.0,90.7,206.0,2020-05-28
115,851122.SI,96.5,219.0,16.74,38.0,22.5,51.0,64.32,146.0,33.0,75.0,其它视听器材,19.4,44.0,36.6,83.0,2020-05-28
