,index_code,industry_base_rank,industry_base_rps,industry_front_rank,industry_front_rps,industry_year_rank,industry_year_rps,industry_week_rank,industry_week_rps,industry_3_rank,industry_3_rps,industry_name,industry_6_rank,industry_6_rps,industry_7_rank,industry_7_rps,date
176,852032.SI,70.5,160.0,75.77,172.0,94.7,215.0,77.97,177.0,33.5,76.0,超市,28.2,64.0,79.7,181.0,2020-05-28
177,852033.SI,14.1,32.0,60.35,137.0,45.4,103.0,89.43,203.0,89.9,204.0,多业态零售,67.0,152.0,32.2,73.0,2020-05-28
178,852041.SI,92.5,210.0,5.73,13.0,77.1,175.0,46.26,105.0,95.6,217.0,专业连锁,96.5,219.0,61.2,139.0,2020-05-28
179,852051.SI,50.7,115.0,37.0,84.0,50.7,115.0,40.53,92.0,83.3,189.0,一般物业经营,75.8,172.0,29.1,66.0,2020-05-28
180,852052.SI,73.6,167.0,47.14,107.0,48.5,110.0,51.54,117.0,69.2,157.0,专业市场,63.4,144.0,35.7,81.0,2020-05-28
181,852111.SI,90.3,205.0,28.63,65.0,67.4,153.0,85.9,195.0,92.1,209.0,人工景点,97.8,222.0,65.2,148.0,2020-05-28
182,852112.SI,23.3,53.0,83.26,189.0,22.9,52.0,70.48,160.0,57.3,130.0,自然景点,15.4,35.0,20.3,46.0,2020-05-28
183,852121.SI,1.8,4.0,55.95,127.0,31.7,72.0,73.57,167.0,65.2,148.0,酒店,81.9,186.0,58.1,132.0,2020-05-28
184,852131.SI,44.5,101.0,23.35,53.0,65.2,148.0,98.24,223.0,83.7,190.0,旅游综合,95.2,216.0,50.2,114.0,2020-05-28
185,852141.SI,15.0,34.0,15.86,36.0,84.1,191.0,25.55,58.0,78.9,179.0,餐饮,79.7,181.0,74.0,168.0,2020-05-28
186,852151.SI,1.3,3.0,6.17,14.0,83.7,190.0,6.61,15.0,80.2,182.0,其他休闲服务,60.4,137.0,64.8,147.0,2020-05-28
187,852211.SI,84.1,191.0,46.26,105.0,30.0,68.0,16.3,37.0,15.0,34.0,通信运营,6.6,15.0,13.2,30.0,2020-05-28
188,852221.SI,94.3,214.0,81.94,186.0,79.3,180.0,50.66,115.0,16.3,37.0,互联网信息服务,43.2,98.0,86.3,196.0,2020-05-28
189,852222.SI,98.7,224.0,46.7,106.0,38.3,87.0,41.41,94.0,37.4,85.0,移动互联网服务,25.1,57.0,66.5,151.0,2020-05-28
190,852223.SI,93.4,212.0,17.18,39.0,0.9,2.0,11.45,26.0,4.4,10.0,其他互联网服务,2.2,5.0,9.7,22.0,2020-05-28
191,852224.SI,91.2,207.0,94.27,214.0,50.2,114.0,57.71,131.0,85.9,195.0,有线电视网络,61.2,139.0,48.5,110.0,2020-05-28
192,852225.SI,85.0,193.0,63.88,145.0,85.5,194.0,24.67,56.0,22.0,50.0,软件开发,61.7,140.0,82.4,187.0,2020-05-28
193,852226.SI,82.8,188.0,67.4,153.0,70.9,161.0,34.8,79.0,11.0,25.0,IT服务,37.9,86.0,68.3,155.0,2020-05-28
194,852241.SI,80.6,183.0,67.84,154.0,35.7,81.0,43.17,98.0,54.6,124.0,平面媒体,55.1,125.0,36.1,82.0,2020-05-28
195,852242.SI,96.9,220.0,44.49,101.0,5.7,13.0,28.19,64.0,27.3,62.0,影视动漫,59.0,134.0,44.5,101.0,2020-05-28
196,852243.SI,97.8,222.0,86.34,196.0,49.8,113.0,91.63,208.0,80.6,183.0,营销服务,91.6,208.0,62.1,141.0,2020-05-28
197,852244.SI,59.9,136.0,84.14,191.0,75.3,171.0,70.04,159.0,70.9,161.0,其他文化传媒,68.7,156.0,52.4,119.0,2020-05-28
198,852311.SI,58.1,132.0,43.17,98.0,58.1,132.0,69.6,158.0,26.9,61.0,综合,31.3,71.0,63.9,145.0,2020-05-28
199,857221.SI,56.4,128.0,40.97,93.0,41.9,95.0,55.95,127.0,56.8,129.0,装修装饰,56.4,128.0,32.6,74.0,2020-05-28
200,857231.SI,63.4,144.0,58.15,132.0,73.1,166.0,83.26,189.0,86.3,196.0,城轨建设,82.4,187.0,63.0,143.0,2020-05-28
201,857232.SI,65.6,149.0,24.67,56.0,56.8,129.0,5.29,12.0,21.6,49.0,路桥施工,20.7,47.0,44.9,102.0,2020-05-28
202,857233.SI,68.3,155.0,80.62,183.0,29.1,66.0,29.96,68.0,9.3,21.0,水利工程,16.3,37.0,42.7,97.0,2020-05-28
203,857234.SI,74.9,170.0,64.32,146.0,21.1,48.0,9.25,21.0,3.5,8.0,铁路建设,11.9,27.0,25.6,58.0,2020-05-28
204,857235.SI,28.6,65.0,13.22,30.0,53.7,122.0,1.32,3.0,33.9,77.0,其他基础建设,46.3,105.0,43.6,99.0,2020-05-28
205,857241.SI,73.1,166.0,98.24,223.0,95.2,216.0,96.04,218.0,30.0,68.0,钢结构,19.8,45.0,95.2,216.0,2020-05-28
206,857242.SI,48.5,110.0,45.81,104.0,24.2,55.0,23.35,53.0,12.3,28.0,化学工程,21.1,48.0,26.4,60.0,2020-05-28
207,857243.SI,19.4,44.0,79.3,180.0,6.6,15.0,78.41,178.0,48.5,110.0,国际工程承包,28.6,65.0,14.5,33.0,2020-05-28
208,857244.SI,42.3,96.0,33.92,77.0,44.1,100.0,16.74,38.0,36.6,83.0,其他专业工程,32.2,73.0,33.0,75.0,2020-05-28
209,857251.SI,70.0,159.0,76.21,173.0,40.5,92.0,81.06,184.0,55.5,126.0,园林工程,16.7,38.0,24.2,55.0,2020-05-28
210,857321.SI,85.5,194.0,54.63,124.0,43.6,99.0,22.91,52.0,8.8,20.0,电网自动化,13.2,30.0,30.8,70.0,2020-05-28
211,857322.SI,21.6,49.0,24.23,55.0,81.5,185.0,25.99,59.0,46.3,105.0,工控自动化,83.3,189.0,87.7,199.0,2020-05-28
212,857323.SI,49.8,113.0,40.09,91.0,17.2,39.0,12.78,29.0,10.6,24.0,计量仪表,10.1,23.0,35.2,80.0,2020-05-28
213,857331.SI,36.6,83.0,42.29,96.0,38.8,88.0,9.69,22.0,14.1,32.0,综合电力设备商,40.5,92.0,30.4,69.0,2020-05-28
214,857332.SI,74.4,169.0,61.23,139.0,35.2,80.0,10.13,23.0,38.3,87.0,风电设备,69.6,158.0,19.8,45.0,2020-05-28
215,857333.SI,98.2,223.0,33.04,75.0,78.9,179.0,21.59,49.0,39.6,90.0,光伏设备,91.2,207.0,79.3,180.0,2020-05-28
216,857334.SI,45.4,103.0,51.98,118.0,4.8,11.0,40.09,91.0,11.9,27.0,火电设备,3.1,7.0,2.2,5.0,2020-05-28
217,857335.SI,41.0,93.0,7.05,16.0,96.0,218.0,75.77,172.0,78.0,177.0,储能设备,94.7,215.0,99.1,225.0,2020-05-28
218,857336.SI,53.7,122.0,57.27,130.0,68.7,156.0,29.07,66.0,95.2,216.0,其它电源设备,76.7,174.0,51.5,117.0,2020-05-28
219,857341.SI,33.0,75.0,21.59,49.0,89.0,202.0,2.64,6.0,1.8,4.0,高压设备,7.5,17.0,81.5,185.0,2020-05-28
220,857342.SI,62.6,142.0,55.51,126.0,42.7,97.0,44.49,101.0,22.5,51.0,中压设备,39.6,90.0,34.8,79.0,2020-05-28
221,857343.SI,11.9,27.0,18.94,43.0,71.4,162.0,88.11,200.0,67.8,154.0,低压设备,70.0,159.0,84.6,192.0,2020-05-28
222,857344.SI,69.6,158.0,22.91,52.0,73.6,167.0,3.52,8.0,7.9,18.0,线缆部件及其他,45.8,104.0,67.4,153.0,2020-05-28
223,857411.SI,55.5,126.0,31.72,72.0,88.1,200.0,13.22,30.0,23.8,54.0,航天装备,50.2,114.0,88.1,200.0,2020-05-28
224,857421.SI,50.2,114.0,69.16,157.0,75.8,172.0,33.04,75.0,47.6,108.0,航空装备,67.8,154.0,67.8,154.0,2020-05-28
225,857431.SI,60.4,137.0,66.08,150.0,76.7,174.0,20.26,46.0,26.4,60.0,地面兵装,45.4,103.0,70.0,159.0,2020-05-28
226,858811.SI,95.2,216.0,63.0,143.0,33.9,77.0,37.0,84.0,59.0,134.0,其他交运设备,37.4,85.0,44.1,100.0,2020-05-28
