48	恩捷股份	002812.SZ	S	55.91	-2400	33.55	134.18	5	172.73	134011.27	""	新能源电池	2	2020-03-09
49	山大华特	000915.SZ	B	26.78	1500	10.04	0	5	15.04	-40185.04	""	追热点	2	2020-03-09
50	山大华特	000915.SZ	S	25.81	-1500	9.68	38.72	5	53.4	38661.6	""	追热点	2	2020-03-10
51	伯特利	603596.SH	S	27.79	-4700	32.65	130.61	5	168.26	130444.74	""	公告预增	2	2020-03-10
52	智动力	300686.SZ	B	28.76	6900	49.61	0	5	54.61	-198498.61	""	公告预增数倍CANSLIM	2	2020-03-11
53	智动力	300686.SZ	B	28.98	16900	122.44	0	9.8	132.24	-489894.24	""	公告预增数倍CANSLIM	1	2020-03-11
54	康尼机电	603111.SH	B	7.71	25900	49.92	0	5	54.92	-199743.92	""	底部突破形态	2	2020-03-12
55	伯特利	603596.SH	S	26.96	-3200	40.71	162.84	5	208.55	162631.45	""	公告预增	2	2020-03-16
56	智动力	300686.SZ	S	23.6	-6900	40.71	162.84	5	208.55	162631.45	""	公告预增数倍 CANSLIM	2	2020-03-16
57	康尼机电	603111.SH	S	6.97	-25900	45.13	180.52	5	230.65	180292.35	""	追热点	2	2020-03-16
58	智动力	300686.SZ	S	24.45	-11200	68.46	273.84	5.48	347.78	273492.22	""	公告预增数倍 CANSLIM	1	2020-03-16
