,板块代码,,,,,,,本周强度,,3周强度,,,6周强度,,7个月强度,,,板块股票数,创新高股票数,涨幅超过5%数
,index_code,industry_base_rank,industry_base_rps,industry_front_rank,industry_front_rps,industry_year_rank,industry_year_rps,industry_week_rank,industry_week_rps,industry_3_rank,industry_3_rps,industry_name,industry_6_rank,industry_6_rps,industry_7_rank,industry_7_rps,date,stock_totality,new_high_flag,percent_5_rise
55,850531.SI,62.1,141.0,39.65,90.0,55.5,126.0,83.7,190.0,60.8,138.0,黄金,62.6,142.0,65.2,148.0,2020-06-23,12,1.0,0.0
56,850541.SI,58.6,133.0,66.08,150.0,15.0,34.0,64.32,146.0,17.6,40.0,稀土,67.4,153.0,23.3,53.0,2020-06-23,4,0.0,0.0
57,850542.SI,57.3,130.0,37.89,86.0,18.1,41.0,28.63,65.0,27.8,63.0,钨,56.4,128.0,19.8,45.0,2020-06-23,4,0.0,0.0
58,850543.SI,57.7,131.0,94.71,215.0,81.5,185.0,93.83,213.0,96.0,218.0,锂,98.2,223.0,94.3,214.0,2020-06-23,2,0.0,1.0
59,850544.SI,24.2,55.0,33.04,75.0,30.8,70.0,71.37,162.0,92.1,209.0,其他稀有小金属,78.0,177.0,56.8,129.0,2020-06-23,14,1.0,0.0
60,850551.SI,37.0,84.0,32.16,73.0,23.8,54.0,34.8,79.0,39.6,90.0,铝,49.3,112.0,22.0,50.0,2020-06-23,23,0.0,0.0
61,850552.SI,15.9,36.0,48.9,111.0,11.9,27.0,60.79,138.0,48.5,110.0,铜,51.5,117.0,22.5,51.0,2020-06-23,14,1.0,0.0
62,850553.SI,32.2,73.0,34.8,79.0,25.1,57.0,39.21,89.0,47.6,108.0,铅锌,61.2,139.0,33.5,76.0,2020-06-23,14,0.0,3.0
63,850611.SI,31.3,71.0,63.88,145.0,65.2,148.0,26.87,61.0,65.2,148.0,玻璃制造,55.5,126.0,78.0,177.0,2020-06-23,8,0.0,0.0
64,850612.SI,46.7,106.0,20.7,47.0,46.7,106.0,5.29,12.0,6.2,14.0,水泥制造,1.8,4.0,60.4,137.0,2020-06-23,18,0.0,0.0
65,850614.SI,78.4,178.0,69.6,158.0,86.8,197.0,18.94,43.0,37.4,85.0,其他建材,42.7,97.0,88.1,200.0,2020-06-23,27,2.0,1.0
66,850615.SI,67.4,153.0,47.14,107.0,65.6,149.0,62.56,142.0,79.7,181.0,耐火材料,82.4,187.0,59.0,134.0,2020-06-23,5,1.0,0.0
67,850616.SI,49.3,112.0,19.82,45.0,44.1,100.0,43.61,99.0,8.4,19.0,管材,18.9,43.0,42.7,97.0,2020-06-23,9,0.0,0.0
68,850623.SI,92.1,209.0,65.64,149.0,28.6,65.0,42.29,96.0,37.9,86.0,房屋建设,18.1,41.0,30.8,70.0,2020-06-23,19,0.0,1.0
69,850711.SI,53.3,121.0,6.61,15.0,24.2,55.0,3.96,9.0,6.6,15.0,机床工具,39.2,89.0,14.5,33.0,2020-06-23,12,0.0,0.0
70,850712.SI,22.5,51.0,83.7,190.0,64.8,147.0,48.46,110.0,60.4,137.0,机械基础件,44.1,100.0,57.3,130.0,2020-06-23,40,2.0,2.0
71,850713.SI,52.4,119.0,52.86,120.0,32.2,73.0,59.47,135.0,30.8,70.0,磨具磨料,8.8,20.0,27.8,63.0,2020-06-23,12,1.0,0.0
72,850714.SI,35.2,80.0,45.37,103.0,51.5,117.0,20.26,46.0,53.3,121.0,内燃机,26.9,61.0,56.4,128.0,2020-06-23,6,0.0,0.0
73,850715.SI,34.4,78.0,79.74,181.0,56.8,129.0,66.96,152.0,61.2,139.0,制冷空调设备,60.4,137.0,52.4,119.0,2020-06-23,8,1.0,1.0
74,850716.SI,64.8,147.0,61.67,140.0,59.5,135.0,51.1,116.0,63.4,144.0,其它通用机械,63.4,144.0,59.9,136.0,2020-06-23,32,1.0,1.0
75,850721.SI,29.1,66.0,59.91,136.0,7.0,16.0,54.19,123.0,29.5,67.0,纺织服装设备,31.7,72.0,7.0,16.0,2020-06-23,7,0.0,0.0
76,850722.SI,95.6,217.0,40.97,93.0,63.9,145.0,8.81,20.0,30.4,69.0,工程机械,7.5,17.0,73.1,166.0,2020-06-23,13,1.0,0.0
77,850723.SI,40.1,91.0,66.96,152.0,79.7,181.0,35.68,81.0,16.3,37.0,农用机械,27.8,63.0,80.2,182.0,2020-06-23,3,0.0,0.0
78,850724.SI,88.1,200.0,37.44,85.0,23.3,53.0,18.06,41.0,2.2,5.0,重型机械,14.1,32.0,18.1,41.0,2020-06-23,8,0.0,0.0
79,850725.SI,63.9,145.0,57.27,130.0,24.7,56.0,32.16,73.0,64.8,147.0,冶金矿采化工设备,59.5,135.0,13.2,30.0,2020-06-23,26,2.0,2.0
80,850726.SI,27.3,62.0,9.25,21.0,37.0,84.0,11.45,26.0,2.6,6.0,印刷包装机械,86.3,196.0,40.5,92.0,2020-06-23,9,0.0,0.0
81,850727.SI,33.5,76.0,70.93,161.0,83.7,190.0,82.82,188.0,90.7,206.0,其它专用机械,89.0,202.0,86.8,197.0,2020-06-23,88,9.0,4.0
82,850728.SI,66.1,150.0,16.3,37.0,34.4,78.0,64.76,147.0,22.0,50.0,楼宇设备,33.5,76.0,39.2,89.0,2020-06-23,12,0.0,0.0
83,850729.SI,51.1,116.0,48.02,109.0,42.3,96.0,14.1,32.0,3.5,8.0,环保设备,35.7,81.0,39.6,90.0,2020-06-23,8,0.0,0.0
84,850731.SI,76.7,174.0,53.3,121.0,67.0,152.0,58.59,133.0,56.8,129.0,仪器仪表,66.1,150.0,74.4,169.0,2020-06-23,34,0.0,1.0
85,850741.SI,55.9,127.0,26.87,61.0,31.7,72.0,73.57,167.0,76.7,174.0,电机,74.9,170.0,44.1,100.0,2020-06-23,16,0.0,0.0
86,850751.SI,21.1,48.0,79.3,180.0,35.7,81.0,58.15,132.0,45.4,103.0,金属制品,70.0,159.0,35.7,81.0,2020-06-23,17,1.0,1.0
87,850811.SI,94.7,215.0,81.06,184.0,93.4,212.0,97.8,222.0,81.5,185.0,集成电路,52.9,120.0,97.4,221.0,2020-06-23,29,1.0,2.0
88,850812.SI,91.6,208.0,8.37,19.0,94.7,215.0,88.99,202.0,69.2,157.0,分立器件,90.7,206.0,99.6,226.0,2020-06-23,6,0.0,0.0
89,850813.SI,96.0,218.0,43.17,98.0,99.6,226.0,98.68,224.0,70.5,160.0,半导体材料,86.8,197.0,100.0,227.0,2020-06-23,6,0.0,0.0
90,850822.SI,99.1,225.0,44.93,102.0,80.2,182.0,84.58,192.0,61.7,140.0,印制电路板,22.5,51.0,82.4,187.0,2020-06-23,24,0.0,1.0
91,850823.SI,87.7,199.0,92.07,209.0,84.1,191.0,97.36,221.0,89.9,204.0,被动元件,90.3,205.0,91.6,208.0,2020-06-23,17,1.0,2.0
92,850831.SI,75.8,172.0,45.81,104.0,60.8,138.0,85.02,193.0,82.8,188.0,显示器件,89.9,204.0,70.0,159.0,2020-06-23,29,0.0,0.0
93,850832.SI,81.9,186.0,29.07,66.0,59.0,134.0,87.67,199.0,35.7,81.0,LED,52.4,119.0,75.3,171.0,2020-06-23,32,1.0,2.0
94,850833.SI,93.8,213.0,7.05,16.0,54.2,123.0,61.23,139.0,54.2,123.0,光学元件,67.8,154.0,79.7,181.0,2020-06-23,10,0.0,0.0
95,850841.SI,75.3,171.0,46.26,105.0,80.6,183.0,89.43,203.0,93.0,211.0,其他电子,85.0,193.0,84.6,192.0,2020-06-23,31,2.0,0.0
96,850851.SI,93.0,211.0,59.03,134.0,47.6,108.0,90.31,205.0,85.5,194.0,电子系统组装,65.6,149.0,53.7,122.0,2020-06-23,16,2.0,0.0
97,850852.SI,89.0,202.0,84.58,192.0,91.2,207.0,99.12,225.0,97.4,221.0,电子零部件制造,95.2,216.0,93.4,212.0,2020-06-23,49,4.0,2.0
98,850911.SI,72.7,165.0,75.77,172.0,58.6,133.0,78.85,179.0,73.1,166.0,乘用车,73.6,167.0,50.7,115.0,2020-06-23,12,0.0,0.0
99,850912.SI,45.8,104.0,23.35,53.0,46.3,105.0,12.33,28.0,11.9,27.0,商用载货车,66.5,151.0,47.6,108.0,2020-06-23,4,0.0,0.0
100,850913.SI,48.0,109.0,73.57,167.0,9.7,22.0,60.35,137.0,14.1,32.0,商用载客车,5.3,12.0,4.0,9.0,2020-06-23,6,0.0,0.0
101,850921.SI,60.8,138.0,41.41,94.0,48.9,111.0,65.64,149.0,55.5,126.0,汽车零部件,48.5,110.0,54.2,123.0,2020-06-23,134,8.0,3.0
102,850935.SI,47.6,108.0,17.18,39.0,4.0,9.0,24.67,56.0,25.6,58.0,船舶制造,24.7,56.0,2.6,6.0,2020-06-23,11,0.0,0.0
103,850936.SI,25.6,58.0,14.1,32.0,7.5,17.0,39.65,90.0,10.6,24.0,铁路设备,3.5,8.0,4.8,11.0,2020-06-23,13,0.0,1.0
104,850941.SI,29.5,67.0,15.86,36.0,35.2,80.0,63.44,144.0,49.8,113.0,汽车服务,29.5,67.0,29.1,66.0,2020-06-23,11,0.0,0.0
105,851012.SI,81.5,185.0,68.72,156.0,76.7,174.0,77.97,177.0,77.1,175.0,终端设备,41.4,94.0,76.7,174.0,2020-06-23,27,2.0,0.0
106,851013.SI,37.4,85.0,1.76,4.0,67.4,153.0,50.66,115.0,48.9,111.0,通信传输设备,11.9,27.0,67.8,154.0,2020-06-23,40,1.0,1.0
107,851014.SI,79.3,180.0,64.76,147.0,62.1,141.0,80.18,182.0,72.7,165.0,通信配套服务,31.3,71.0,66.1,150.0,2020-06-23,29,3.0,1.0
108,851021.SI,71.8,163.0,22.47,51.0,69.6,158.0,68.72,156.0,66.1,150.0,计算机设备,27.3,62.0,70.9,161.0,2020-06-23,45,1.0,0.0
109,851111.SI,67.0,152.0,13.66,31.0,21.6,49.0,77.53,176.0,67.0,152.0,冰箱,85.9,195.0,31.7,72.0,2020-06-23,5,0.0,0.0
110,851112.SI,85.9,195.0,26.43,60.0,30.4,69.0,41.41,94.0,33.9,77.0,空调,29.1,66.0,36.6,83.0,2020-06-23,4,0.0,0.0
111,851113.SI,44.9,102.0,94.27,214.0,47.1,107.0,81.94,186.0,43.6,99.0,洗衣机,43.2,98.0,41.4,94.0,2020-06-23,1,0.0,0.0
112,851114.SI,66.5,151.0,88.11,200.0,63.0,143.0,83.26,189.0,70.0,159.0,小家电,56.8,129.0,63.0,143.0,2020-06-23,18,2.0,1.0
113,851115.SI,63.0,143.0,50.22,114.0,92.5,210.0,96.92,220.0,95.2,216.0,家电零部件,87.7,199.0,92.5,210.0,2020-06-23,19,1.0,0.0
114,851121.SI,65.2,148.0,34.36,78.0,81.9,186.0,62.11,141.0,36.6,83.0,彩电,39.6,90.0,86.3,196.0,2020-06-23,6,0.0,0.0
115,851122.SI,96.5,219.0,43.61,99.0,26.0,59.0,31.72,72.0,33.5,76.0,其它视听器材,36.1,82.0,37.4,85.0,2020-06-23,5,0.0,0.0
116,851231.SI,0.4,1.0,97.8,222.0,87.7,199.0,94.27,214.0,85.0,193.0,白酒,87.2,198.0,76.2,173.0,2020-06-23,17,7.0,7.0
117,851232.SI,11.5,26.0,99.56,226.0,90.3,205.0,100.0,227.0,94.3,214.0,啤酒,94.3,214.0,81.9,186.0,2020-06-23,7,2.0,1.0
118,851233.SI,5.3,12.0,97.36,221.0,92.1,209.0,80.62,183.0,80.6,183.0,其他酒类,64.3,146.0,89.4,203.0,2020-06-23,3,0.0,0.0
119,851234.SI,33.9,77.0,74.01,168.0,32.6,74.0,25.99,59.0,21.1,48.0,软饮料,13.2,30.0,16.7,38.0,2020-06-23,5,0.0,0.0
120,851235.SI,16.7,38.0,92.95,211.0,49.3,112.0,81.06,184.0,88.1,200.0,葡萄酒,75.3,171.0,41.9,95.0,2020-06-23,5,0.0,0.0
121,851236.SI,12.3,28.0,95.59,217.0,70.0,159.0,90.75,206.0,44.5,101.0,黄酒,88.1,200.0,53.3,121.0,2020-06-23,3,0.0,0.0
122,851241.SI,81.1,184.0,78.41,178.0,88.5,201.0,76.21,173.0,75.8,172.0,肉制品,16.7,38.0,77.1,175.0,2020-06-23,7,0.0,1.0
123,851242.SI,7.0,16.0,95.15,216.0,96.0,218.0,88.55,201.0,84.1,191.0,调味发酵品,78.4,178.0,85.0,193.0,2020-06-23,11,4.0,0.0
124,851243.SI,78.0,177.0,76.21,173.0,53.3,121.0,78.41,178.0,74.0,168.0,乳品,55.9,127.0,50.2,114.0,2020-06-23,11,0.0,0.0
125,851244.SI,9.3,21.0,90.75,206.0,97.4,221.0,50.22,114.0,78.0,177.0,食品综合,76.7,174.0,94.7,215.0,2020-06-23,27,3.0,0.0
126,851311.SI,27.8,63.0,7.49,17.0,61.7,140.0,33.04,75.0,76.2,173.0,毛纺,81.5,185.0,48.5,110.0,2020-06-23,4,0.0,0.0
127,851312.SI,13.7,31.0,35.68,81.0,20.7,47.0,30.84,70.0,55.1,125.0,棉纺,40.1,91.0,16.3,37.0,2020-06-23,8,0.0,0.0
128,851313.SI,84.6,192.0,56.83,129.0,50.2,114.0,9.25,21.0,57.7,131.0,丝绸,82.8,188.0,69.2,157.0,2020-06-23,2,0.0,0.0
129,851314.SI,72.2,164.0,25.55,58.0,22.5,51.0,22.91,52.0,19.4,44.0,印染,33.9,77.0,21.1,48.0,2020-06-23,3,0.0,0.0
130,851315.SI,70.9,161.0,58.59,133.0,29.1,66.0,27.31,62.0,59.5,135.0,辅料,52.0,118.0,20.7,47.0,2020-06-23,4,0.0,0.0
131,851316.SI,69.2,157.0,11.89,27.0,33.9,77.0,7.49,17.0,33.0,75.0,其他纺织,19.8,45.0,51.5,117.0,2020-06-23,10,1.0,0.0
132,851322.SI,86.3,196.0,63.0,143.0,8.8,20.0,26.43,60.0,42.7,97.0,男装,26.0,59.0,11.9,27.0,2020-06-23,10,0.0,0.0
133,851323.SI,83.7,190.0,72.69,165.0,0.4,1.0,5.73,13.0,50.2,114.0,女装,32.2,73.0,0.4,1.0,2020-06-23,8,0.0,0.0
134,851324.SI,97.4,221.0,62.11,141.0,6.6,15.0,7.05,16.0,5.7,13.0,休闲服装,9.7,22.0,24.2,55.0,2020-06-23,6,0.0,0.0
135,851325.SI,99.6,226.0,53.74,122.0,73.6,167.0,73.13,166.0,62.1,141.0,鞋帽,91.6,208.0,96.5,219.0,2020-06-23,7,1.0,2.0
136,851326.SI,40.5,92.0,75.33,171.0,51.1,116.0,10.57,24.0,0.4,1.0,家纺,12.3,28.0,40.1,91.0,2020-06-23,5,0.0,0.0
137,851327.SI,41.4,94.0,31.72,72.0,73.1,166.0,33.92,77.0,58.1,132.0,其他服装,76.2,173.0,69.6,158.0,2020-06-23,17,0.0,0.0
138,851411.SI,89.4,203.0,55.95,127.0,48.5,110.0,47.58,108.0,57.3,130.0,造纸,50.2,114.0,51.1,116.0,2020-06-23,21,1.0,0.0
139,851421.SI,67.8,154.0,41.85,95.0,43.2,98.0,63.0,143.0,71.8,163.0,包装印刷,68.3,155.0,45.4,103.0,2020-06-23,38,3.0,2.0
140,851432.SI,64.3,146.0,10.57,24.0,50.7,115.0,29.52,67.0,22.5,51.0,家具,69.2,157.0,58.6,133.0,2020-06-23,30,1.0,0.0
141,851433.SI,41.9,95.0,67.84,154.0,70.9,161.0,44.49,101.0,45.8,104.0,其他家用轻工,80.6,183.0,62.1,141.0,2020-06-23,18,0.0,1.0
142,851434.SI,51.5,117.0,51.98,118.0,4.4,10.0,10.13,23.0,38.3,87.0,珠宝首饰,45.4,103.0,6.6,15.0,2020-06-23,11,0.0,0.0
143,851435.SI,17.6,40.0,88.55,201.0,72.7,165.0,48.9,111.0,47.1,107.0,文娱用品,65.2,148.0,60.8,138.0,2020-06-23,12,0.0,0.0
144,851441.SI,87.2,198.0,4.41,10.0,17.2,39.0,2.64,6.0,58.6,133.0,其他轻工制造,73.1,166.0,25.1,57.0,2020-06-23,1,0.0,0.0
145,851511.SI,7.5,17.0,92.51,210.0,97.8,222.0,52.86,120.0,94.7,215.0,化学原料药,91.2,207.0,95.6,217.0,2020-06-23,29,10.0,4.0
146,851512.SI,11.0,25.0,87.22,198.0,85.9,195.0,67.84,154.0,95.6,217.0,化学制剂,89.4,203.0,78.4,178.0,2020-06-23,73,8.0,5.0
147,851521.SI,5.7,13.0,86.78,197.0,74.9,170.0,36.56,83.0,81.9,186.0,中药,70.9,161.0,63.9,145.0,2020-06-23,68,8.0,3.0
148,851531.SI,6.2,14.0,93.83,213.0,98.2,223.0,85.9,195.0,98.2,223.0,生物制品,97.8,222.0,96.9,220.0,2020-06-23,34,8.0,2.0
149,851541.SI,19.8,45.0,82.82,188.0,82.4,187.0,66.08,150.0,92.5,210.0,医药商业,84.6,192.0,74.9,170.0,2020-06-23,25,4.0,1.0
150,851551.SI,8.4,19.0,89.43,203.0,100.0,227.0,43.17,98.0,96.5,219.0,医疗器械,94.7,215.0,98.2,223.0,2020-06-23,54,9.0,7.0
151,851561.SI,4.0,9.0,96.04,218.0,93.8,213.0,96.04,218.0,96.9,220.0,医疗服务,96.5,219.0,83.3,189.0,2020-06-23,22,6.0,5.0
152,851611.SI,20.7,47.0,55.51,126.0,18.9,43.0,61.67,140.0,32.2,73.0,火电,23.3,53.0,11.0,25.0,2020-06-23,27,0.0,0.0
153,851612.SI,12.8,29.0,89.87,204.0,43.6,99.0,82.38,187.0,62.6,142.0,水电,62.1,141.0,30.4,69.0,2020-06-23,22,1.0,0.0
