trade_date,stop_loss
20170103,51.42
20170104,51.42
20170105,51.42
20170106,51.42
20170109,51.42
20170110,51.42
20170111,51.42
20170112,51.42
20170113,51.42
20170116,51.42
20170117,11.9
20170118,11.99
20170119,11.96
20170120,12.25
20170123,12.44
20170124,12.5
20170125,12.82
20170126,12.93
20170203,12.93
20170206,12.79
20170207,12.89
20170208,12.97
20170209,13.21
20170210,13.2
20170213,13.43
20170214,13.44
20170215,13.04
20170216,13.12
20170217,13.47
20170220,13.49
20170221,13.81
20170222,14.17
20170223,14.25
20170224,13.83
20170227,13.87
20170228,13.82
20170301,14.11
20170302,14.25
20170303,13.99
20170306,14.02
20170307,14.59
20170308,14.52
20170309,14.29
20170310,14.32
20170313,14.62
20170314,14.94
20170315,15.03
20170316,15.27
20170317,15.31
20170320,15.1
20170321,15.18
20170322,15.66
20170323,15.58
20170324,16.11
20170327,15.67
20170328,15.22
20170329,15.1
20170330,15.28
20170331,14.91
20170405,15.7
20170406,15.7
20170407,15.82
20170410,15.89
20170411,16.1
20170412,15.5
20170413,15.29
20170414,15.36
20170417,15.5
20170418,15.86
20170419,15.85
20170420,16.23
20170421,15.95
20170424,15.52
20170425,15.68
20170426,15.85
20170427,15.16
20170428,15.45
20170502,15.35
20170503,15.58
20170504,16.05
20170505,16.63
20170508,15.98
20170509,15.75
20170510,16.14
20170511,15.64
20170512,16.65
20170515,16.66
20170516,16.65
20170517,17.32
20170518,17.14
20170519,17.21
20170522,17.36
20170523,17.84
20170524,17.65
20170525,17.86
20170526,18.24
20170531,18.23
20170601,18.52
20170602,18.52
20170605,18.33
20170606,17.94
20170607,18.64
20170608,19.21
20170609,19.96
20170612,19.95
20170613,20.11
20170614,19.59
20170615,19.45
20170616,19.56
20170619,19.73
20170620,19.74
20170621,19.76
20170622,20.01
20170623,19.54
20170626,19.89
20170627,20.77
20170628,20.93
20170629,20.66
20170630,20.72
20170703,20.88
20170704,20.3
20170705,19.76
20170706,20.63
20170707,20.73
20170710,20.44
20170711,20.59
20170712,20.69
20170713,21.04
20170714,21.35
20170717,20.17
20170718,18.81
20170719,19.17
20170720,20.2
20170721,20.65
20170724,20.66
20170725,20.63
20170726,20.34
20170727,19.95
20170728,20.02
20170731,20.26
20170801,20.09
20170802,19.92
20170803,19.95
20170804,18.44
20170807,18.56
20170808,18.95
20170809,19.12
20170810,19.76
20170811,19.81
20170814,19.79
20170815,20.0
20170816,19.28
20170817,19.33
20170818,19.72
20170821,19.73
20170822,19.95
20170823,19.97
20170824,19.82
20170825,19.71
20170828,19.75
20170829,19.89
20170830,20.0
20170831,19.73
20170901,19.78
20170904,19.87
20170905,19.38
20170906,19.24
20170907,19.32
20170908,19.54
20170911,19.63
20170912,20.11
20170913,20.09
20170914,20.5
20170915,20.21
20170918,20.39
20170919,20.74
20170920,21.07
20170921,21.34
20170922,21.59
20170925,21.63
20170926,21.02
20170927,21.31
20170928,21.36
20170929,21.71
20171009,21.71
20171010,21.6
20171011,21.85
20171012,22.16
20171013,22.44
20171016,22.58
20171017,23.38
20171018,23.39
20171019,22.8
20171020,20.93
20171023,21.19
20171024,21.6
20171025,21.68
20171026,21.56
20171027,21.61
20171030,21.56
20171031,21.64
20171101,21.72
20171102,22.07
20171103,21.59
20171106,20.71
20171107,20.96
20171108,21.23
20171109,20.7
20171110,20.57
20171113,20.87
20171114,21.48
20171115,21.22
20171116,21.04
20171117,21.31
20171120,20.33
20171121,21.05
20171122,21.34
20171123,20.67
20171124,19.88
20171127,19.19
